organisation,transparency_reg_id,source_date,meetings_total,meetings_commission,meetings_ep,amendment_number,target_element,target_type,committee,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
eu travel tech ,70614728635-77,2021-03-01,4,0,4,1792,Article 32 – paragraph 3 – point a,article,IMCO,0.842839,"The amendment adds the ""Digital Services Coordinator of destination"" as an additional cooperating authority alongside the Digital Services Coordinator of establishment and the Commission, expanding the cooperation obligation to include destination-country coordinators.",NOISE,"The organisation's text contains only general support for the DSA and broad endorsements of transparency, accountability, and legal certainty, with no specific directional stance on the cooperation structure between Digital Services Coordinators or the role of destination-country coordinators. There is no substantive advocacy position that maps onto this specific amendment.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,396,Recital 42 a (new),recital,IMCO,0.859157,"The amendment inserts a new recital requiring hosting service providers to notify law enforcement authorities when they become aware of suspicions of serious criminal offences involving threats to life or safety, while also clarifying that this does not provide a legal basis for profiling recipients.",NOISE,"The organisation's text focuses on data-sharing obligations, VLOP definitions, and sector-specific codes of conduct for travel/accommodation platforms — it does not express any directional stance on whether hosting service providers should be required to report criminal suspicions to law enforcement. The org's mention of data privacy and information-sharing is too general and unrelated in direction to this specific new insertion about mandatory reporting of serious criminal offences.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,1769,Article 31 – paragraph 5,article,IMCO,0.85792,"The amendment replaces ""the Board"" with ""the Agency"" as the consultee for delegated acts, and expands the entities eligible to receive shared data from ""vetted researchers"" to also include ""not-for-profit bodies, organisations or associations or media organisations.""",NOISE,"The organisation's text focuses on legal certainty around information/data-sharing obligations, the definition of VLOPs by business model, and sectoral codes of conduct — none of which address the specific changes made by this amendment (replacing ""Board"" with ""Agency"" or expanding data-sharing recipients beyond vetted researchers). There is no directional stance expressed on either of these two specific changes.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,1771,Article 31 – paragraph 5,article,IMCO,0.853128,The amendment adds a deadline of no later than one year after entry into force for the Commission to adopt delegated acts on technical conditions for data sharing by very large online platforms.,NOISE,"The organisation's position focuses on legal certainty around data-sharing obligations, the definition of VLOPs, and sectoral codes of conduct, but does not express any specific directional stance on whether a deadline should be imposed on the Commission's adoption of delegated acts. Their text contains no advocacy position on the timing or deadline for such delegated acts, making this a mismatch of subjects rather than a directional alignment or opposition.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,1770,Article 31 – paragraph 5,article,IMCO,0.853128,"The amendment adds a deadline of no later than one year after entry into force of the legislation for the Commission to adopt delegated acts on data-sharing technical conditions, where previously no time limit existed.",NOISE,"The organisation's text focuses on the definition of VLOPs, sectoral codes of conduct, and the scope of information/data-sharing orders — not on the timeline for the Commission to adopt delegated acts. There is no directional stance expressed regarding when or how quickly the Commission should adopt these delegated acts, making the organisation's position unrelated to the specific change introduced by the amendment.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,1774,Article 31 – paragraph 5,article,IMCO,0.851797,"The amendment removes the explicit reference to the protection of trade secrets from the list of considerations when sharing data with vetted researchers, while retaining the broader protection of confidential information.",NOISE,"The organisation's text focuses on legal certainty around data-sharing obligations, the definition of VLOPs, and sectoral codes of conduct — it does not express any specific directional stance on whether trade secrets should or should not be explicitly listed as a consideration in delegated acts governing data sharing with vetted researchers. The matched content is too general and topically unrelated to this specific amendment to constitute a substantive advocacy position on this change.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,530,Recital 70 a (new),recital,IMCO,0.879502,"The amendment inserts a new recital encouraging the Commission to promote codes of conduct for online platforms to verify short-term holiday rental providers' compliance with national registration/authorisation schemes, and to establish cooperation mechanisms between platforms and public authorities.",ALIGNED,"EU Travel Tech explicitly proposed establishing a Code of Conduct specifically for the short-term rental sector to detail how obligations apply to online accommodation platforms and to support compliance with registration and local requirements. The amendment directly responds to this advocacy by inserting a recital encouraging exactly such codes of conduct for STR platforms, focused on registration/authorisation compliance and platform-authority cooperation.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,1894,Article 36 a (new),article,IMCO,0.866897,"The amendment inserts a new provision requiring the Commission to aim to ensure that codes of conduct lead to effective mechanisms for online platforms to verify and track short-term holiday rental providers' compliance with national registration and authorization requirements, with a timeline for development and application.",ALIGNED,"The organisation explicitly advocates for establishing a Code of Conduct specifically tailored to the short-term rental sector, noting that the main type of illegality involves STR providers not registering with authorities or complying with local/national requirements. The amendment directly responds to this by inserting a new provision that uses the Code of Conduct mechanism to address STR registration and authorization compliance verification — precisely the direction the organisation advocated for.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,1453,Article 22 – paragraph 7 a (new),article,IMCO,0.845784,"The amendment inserts a new obligation requiring online platforms facilitating short-term holiday rentals to obtain and publish registration or licensing numbers where required by EU, national, or local law.",UNDETECTABLE,"The organisation acknowledges that a key type of illegal content on STR platforms involves providers not having registered with authorities or complied with local/national requirements, and proposes a Code of Conduct to address specific obligations for the STR sector. However, their position focuses on a soft-law Code of Conduct approach rather than a hard legislative obligation, and it is genuinely unclear whether they would support or oppose a direct mandatory registration-number publication requirement imposed on platforms by law rather than through a voluntary code.",1,False
eu travel tech ,70614728635-77,2021-03-01,4,0,4,235,Recital 12 a (new),recital,IMCO,0.840063,The amendment inserts a new recital recognising tourism as a key pillar of the European economy and stating that short-term rental platforms must be directly addressed in the legislation to ensure a level playing field in the Internal Market.,UNDETECTABLE,"The organisation does advocate specifically for the short-term rental (STR) sector to be addressed in the legislation, but its preferred mechanism is a sectoral Code of Conduct that accounts for the distinct and lower-risk nature of STR platforms — not a direct legislative obligation applying to them. The amendment's recital calls for STR platforms to be ""addressed directly in the legislation,"" which could either align with or cut against the org's position depending on what that direct legislative treatment entails. The org's stance is specific enough to be relevant, but the direction of the amendment (more direct legislative coverage vs. the org's preferred Code of Conduct approach) is genuinely ambiguous in terms of whether it satisfies the org's advocacy.",1,False
