organisation,tr_id,meeting_count,source_kind,source_type,source_date,source_commissioner,source_text,article_type,article_number,article_title,article_text,cosine_score,label,reasoning
Adobe Systems Benelux bvba,575371411483-96,7,meeting,commission_meeting,2020-02-25,Ursula von der Leyen's cabinet,Subject: Artificial intelligence: how Europe can maximise this potential and ensure widespread deployment,recital,2,,"recital 2
Artificial intelligence systems (AI systems) can be easily deployed in multiple sectors of the economy and society, including cross border, and circulate throughout the Union. Certain Member States have already explored the adoption of national rules to ensure that artificial intelligence is safe and is developed and used in compliance with fundamental rights obligations. Differing national rules may lead to fragmentation of the internal market and decrease legal certainty for operators that develop or use AI systems. A consistent and high level of protection throughout the Union should therefore be ensured, while divergences hampering the free circulation of AI systems and related products and services within the internal market should be prevented, by laying down uniform obligations for operators and guaranteeing the uniform protection of overriding reasons of public interest and of rights of persons throughout the internal market based on Article 114 of the Treaty on the Functioning of the European Union (TFEU). To the extent that this Regulation contains specific rules on the protection of individuals with regard to the processing of personal data concerning restrictions of the use of AI systems for ‘real-time’ remote biometric identification in publicly accessible spaces for the purpose of law enforcement, it is appropriate to base this Regulation, in as far as those specific rules are concerned, on Article 16 of the TFEU. In light of those specific rules and the recourse to Article 16 TFEU, it is appropriate to consult the European Data Protection Board.",0.8589,NOISE,"Both the Commission meeting subject and the recital address AI deployment in Europe, but the meeting topic focuses on maximising AI's potential and widespread deployment, while Recital 2 is primarily concerned with harmonising national rules to prevent internal market fragmentation — there is topical overlap but no clear alignment or opposition between Adobe's pre-proposal position and the article's content."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"o Training data We fully acknowledge the importance of robust training data sets in the development and deployment of AI. However, rather than focusing on the data sets themselves, which often will reflect biases that exist in the real world, we suggest focusing on testing outcomes of the AI systems before deployment or applying safeguards against biased outcomes after deployment. Stereotypes can be perpetuated either in recommendations, searches, or quality of tool so considered quality-control and review processes should be in place and outputs tested to protect against this. This requires testing and human involvement in the development of AI with diverse teams that are continually evaluating in the development and innovation of AI. Some AI models may require less strict requirements to data sets if they are designed with the appropriate caveats and caution – requirements should be set in connection to the purpose and what is required to ensure non-discrimination in relation to that purpose. We see an urgent need for the Commission to clarify how training data requirements will interact with GDPR (including the right to be forgotten and data minimisation) and clarify the requirements addressed to the party that is best positioned to perform the quality control of the data. We also urge the concept of ‘sufficiently representative’ to be defined more clearly",recital,44,,"recital 44
High data quality is essential for the performance of many AI systems, especially when techniques involving the training of models are used, with a view to ensure that the high-risk AI system performs as intended and safely and it does not become the source of discrimination prohibited by Union law. High quality training, validation and testing data sets require the implementation of appropriate data governance and management practices. Training, validation and testing data sets should be sufficiently relevant, representative and free of errors and complete in view of the intended purpose of the system. They should also have the appropriate statistical properties, including as regards the persons or groups of persons on which the high-risk AI system is intended to be used. In particular, training, validation and testing data sets should take into account, to the extent required in the light of their intended purpose, the features, characteristics or elements that are particular to the specific geographical, behavioural or functional setting or context within which the AI system is intended to be used. In order to protect the right of others from the discrimination that might result from the bias in AI systems, the providers shouldbe able to process also special categories of personal data, as a matter of substantial public interest, in order to ensure the bias monitoring, detection and correction in relation to high-risk AI systems.",0.8829,OPPOSING,"ITI's pre-proposal text advocates for focusing on testing outcomes and post-deployment safeguards rather than on the data sets themselves, and cautions against mandatory record-keeping for datasets, whereas Recital 44 places strong emphasis on high data quality, data governance and management practices, and the requirement that training, validation, and testing datasets be sufficiently relevant, representative, and free of errors — directly prioritising the data sets themselves as a compliance obligation."
IKEA / Ingka Group,1095068839-59,0,feedback,hys_feedback,2020-09-10,,"A specific and targeted definition of Artificial Intelligence will foster trust among society, and secure the legal certainty needed for businesses to innovate in the European Union.  Whether Artificial Intelligence is deemed ‘high risk’ should be equally based on the type of AI application being used (i.e., likelihood and magnitude of adverse outcomes) and on sectoral use. Applications only aiming at improving business processes do not have the same implications for people and society than AI-fuelled autonomous driving solutions for instance. A balanced application-and-sector-based approach would enable businesses to pay particular attention to potentially vulnerable people (those traditionally at risk of exclusion), secure proportional requirements across sectors and support innovation.  ‘High-risk’ applications should be assessed based on their intended use, i.e., on whether they will be used for (i) internal operational processes, (ii) consumer-facing use, (iii) decision tools, and (iv) physical use that presents safety risks including harm to human body.  EU rules for remote biometric identification systems should balance privacy concerns with opportunities for consumer experience improvement. The General Data Protection Regulation (GDPR) has already created a clear framework for remote biometric identification systems in which biometric data processing should be a last resort option",recital,2,,"recital 2
Artificial intelligence systems (AI systems) can be easily deployed in multiple sectors of the economy and society, including cross border, and circulate throughout the Union. Certain Member States have already explored the adoption of national rules to ensure that artificial intelligence is safe and is developed and used in compliance with fundamental rights obligations. Differing national rules may lead to fragmentation of the internal market and decrease legal certainty for operators that develop or use AI systems. A consistent and high level of protection throughout the Union should therefore be ensured, while divergences hampering the free circulation of AI systems and related products and services within the internal market should be prevented, by laying down uniform obligations for operators and guaranteeing the uniform protection of overriding reasons of public interest and of rights of persons throughout the internal market based on Article 114 of the Treaty on the Functioning of the European Union (TFEU). To the extent that this Regulation contains specific rules on the protection of individuals with regard to the processing of personal data concerning restrictions of the use of AI systems for ‘real-time’ remote biometric identification in publicly accessible spaces for the purpose of law enforcement, it is appropriate to base this Regulation, in as far as those specific rules are concerned, on Article 16 of the TFEU. In light of those specific rules and the recourse to Article 16 TFEU, it is appropriate to consult the European Data Protection Board.",0.8825,NOISE,"Both the IKEA/Ingka source text and Recital 2 address the need for legal certainty and a harmonised EU framework for AI, but while IKEA's position focuses on a targeted definition of AI and a risk-based (application-and-sector) approach to classification, Recital 2 is concerned with preventing internal market fragmentation through uniform obligations — the topical overlap is present but the specific policy arguments do not align or conflict directly."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"monitor an automated decision in an air traffic control tower and override decisions made by the AI if necessary (for example in an emergency). In such a case, the AI de facto replaces the human and therefore, human oversight is needed continuously. However, for other, less critical situations, we may not require detailed human involvement e.g. for handling baggage at an airport. Individual use cases and the risk of adverse outcomes associated with an application should determine the degree of involvement of humans in reviewing machine-generated decisions. In some cases, human oversight can not only lead to delays, in others, accuracy of outputs or even human safety could even be undermined by human interventions (for example for mathematical calculations). 3a. Sub-option 1 – Regulating Biometric Surveillance As already mentioned above, our industry takes the issue of biometric surveillance seriously and recognises our important role in making sure AI technologies, like facial recognition technology, are built and applied in a way that benefits everyone. It is critical that society, governments, and the technology sector work together to begin to solve some of the most complex issues, including this one. Possible new regulations and policies should be compatible with existing rules like GDPR to protect users without causing harm or unintended consequences. 3b",article,14,,"article 14
Human oversight 1.High-risk AI systems shall be designed and developed in such a way, including with appropriate human-machine interface tools, that they can be effectively overseen by natural persons during the period in which the AI system is in use. 2.Human oversight shall aim at preventing or minimising the risks to health, safety or fundamental rights that may emerge when a high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, in particular when such risks persist notwithstanding the application of other requirements set out in this Chapter. 3.Human oversight shall be ensured through either one or all of the following measures: (a)identified and built, when technically feasible, into the high-risk AI system by the provider before it is placed on the market or put into service; (b)identified by the provider before placing the high-risk AI system on the market or putting it into service and that are appropriate to be implemented by the user. 4.The measures referred to in paragraph 3 shall enable the individuals to whom human oversight is assigned to do the following, as appropriate to the circumstances: (a)fully understand the capacities and limitations of the high-risk AI system and be able to duly monitor its operation, so that signs of anomalies, dysfunctions and unexpected performance can be detected and addressed as soon as possible; (b)remain aware of the possible tendency of automatically relying or over-relying on the output produced by a high-risk AI system (‘automation bias’), in particular for high-risk AI systems used to provide information or recommendations for decisions to be taken by natural persons; (c)be able to correctly interpret the high-risk AI system’s output, taking into account in particular the characteristics of the system and the interpretation tools and methods available; (d)be able to decide, in any particular situation, not to use the high-risk AI system or otherwise disregard, override or reverse the output of the high-risk AI system; (e)be able to intervene on the operation of the high-risk AI system or interrupt the system through a “stop” button or a similar procedure. 5.For high-risk AI systems referred to in point 1(a) of Annex III, the measures referred to in paragraph 3 shall be such as to ensure that, in addition, no action or decision is taken by the user on the basis of the identification resulting from the system unless this has been verified and confirmed by at least two natural persons.",0.8812,ALIGNED,"ITI's pre-proposal text explicitly advocates for a risk-based, use-case-dependent approach to human oversight — where the degree of human involvement scales with the criticality of the application — which is directly reflected in Article 14's framework requiring human oversight for high-risk AI systems while allowing flexibility in implementation measures."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"o Training data We fully acknowledge the importance of robust training data sets in the development and deployment of AI. However, rather than focusing on the data sets themselves, which often will reflect biases that exist in the real world, we suggest focusing on testing outcomes of the AI systems before deployment or applying safeguards against biased outcomes after deployment. Stereotypes can be perpetuated either in recommendations, searches, or quality of tool so considered quality-control and review processes should be in place and outputs tested to protect against this. This requires testing and human involvement in the development of AI with diverse teams that are continually evaluating in the development and innovation of AI. Some AI models may require less strict requirements to data sets if they are designed with the appropriate caveats and caution – requirements should be set in connection to the purpose and what is required to ensure non-discrimination in relation to that purpose. We see an urgent need for the Commission to clarify how training data requirements will interact with GDPR (including the right to be forgotten and data minimisation) and clarify the requirements addressed to the party that is best positioned to perform the quality control of the data. We also urge the concept of ‘sufficiently representative’ to be defined more clearly",article,10,,"article 10
Data and data governance 1.High-risk AI systems which make use of techniques involving the training of models with data shall be developed on the basis of training, validation and testing data sets that meet the quality criteria referred to in paragraphs 2 to 5. 2.Training, validation and testing data sets shall be subject to appropriate data governance and management practices. Those practices shall concern in particular, (a)the relevant design choices; (b)data collection; (c)relevant data preparation processing operations, such as annotation, labelling, cleaning, enrichment and aggregation; (d)the formulation of relevant assumptions, notably with respect to the information that the data are supposed to measure and represent; (e)a prior assessment of the availability, quantity and suitability of the data sets that are needed; (f)examination in view of possible biases; (g)the identification of any possible data gaps or shortcomings, and how those gaps and shortcomings can be addressed. 3.Training, validation and testing data sets shall be relevant, representative, free of errors and complete. They shall have the appropriate statistical properties, including, where applicable, as regards the persons or groups of persons on which the high-risk AI system is intended to be used. These characteristics of the data sets may be met at the level of individual data sets or a combination thereof. 4.Training, validation and testing data sets shall take into account, to the extent required by the intended purpose, the characteristics or elements that are particular to the specific geographical, behavioural or functional setting within which the high-risk AI system is intended to be used. 5.To the extent that it is strictly necessary for the purposes of ensuring bias monitoring, detection and correction in relation to the high-risk AI systems, the providers of such systems may process special categories of personal data referred to in Article 9(1) of Regulation (EU) 2016/679, Article 10 of Directive (EU) 2016/680 and Article 10(1) of Regulation (EU) 2018/1725, subject to appropriate safeguards for the fundamental rights and freedoms of natural persons, including technical limitations on the re-use and use of state-of-the-art security and privacy-preserving measures, such as pseudonymisation, or encryption where anonymisation may significantly affect the purpose pursued. 6.Appropriate data governance and management practices shall apply for the development of high-risk AI systems other than those which make use of techniques involving the training of models in order to ensure that those high-risk AI systems comply with paragraph 2.",0.8805,OPPOSING,"ITI's pre-proposal text advocates for focusing on testing outcomes and post-deployment safeguards rather than on the data sets themselves, and cautions against mandatory record-keeping for datasets, while Article 10 directly mandates strict data governance and management practices applied to the training, validation, and testing data sets themselves for high-risk AI systems."
DIGITALEUROPE,64270747023-20,6,feedback,hys_feedback,2020-09-10,,"3 Further, the requirements themselves, how these can be set and measured, how they are enforced (i.e. ex-ante or ex-post) are intrinsically linked to the scope. Some requirements (e.g. on ways to provide transparency) are sensible in a business-to-consumer context and can be seen as requiring a more case-by- case approach. Other requirements (e.g. on accuracy thresholds) may be more common in a business-to-business context and could possibly be assessed in advance of deployment. DIGITALEUROPE therefore advises against any proposal that would mandate specific requirements on all AI applications (i.e. Option 3, sub-option c). or similarly, we strongly advise against expanding the scope of the definition to encompass all of ‘automated decision making’. This would simply not be proportionate or effective towards the Commission’s intended goal as well as going against the initial and thoughtful direction of the AI White Paper. Most AI applications do not pose any risks to fundamental rights or safety (for example industrial applications such as optimizing production or logistic chains, or optimizing consumer device performance) and therefore should not be subject to new regulation in this area. It should also be acknowledged that not every use of AI in a given sector (e.g. healthcare) necessarily involves significant risks",article,52,,"article 52
Transparency obligations for certain AI systems 1.Providers shall ensure that AI systems intended to interact with natural persons are designed and developed in such a way that natural persons are informed that they are interacting with an AI system, unless this is obvious from the circumstances and the context of use. This obligation shall not apply to AI systems authorised by law to detect, prevent, investigate and prosecute criminal offences, unless those systems are available for the public to report a criminal offence. 2.Users of an emotion recognition system or a biometric categorisation system shall inform of the operation of the system the natural persons exposed thereto. This obligation shall not apply to AI systems used for biometric categorisation, which are permitted by law to detect, prevent and investigate criminal offences. 3.Users of an AI system that generates or manipulates image, audio or video content that appreciably resembles existing persons, objects, places or other entities or events and would falsely appear to a person to be authentic or truthful (‘deep fake’), shall disclose that the content has been artificially generated or manipulated. However, the first subparagraph shall not apply where the use is authorised by law to detect, prevent, investigate and prosecute criminal offences or it is necessary for the exercise of the right to freedom of expression and the right to freedom of the arts and sciences guaranteed in the Charter of Fundamental Rights of the EU, and subject to appropriate safeguards for the rights and freedoms of third parties. 4.Paragraphs 1, 2 and 3 shall not affect the requirements and obligations set out in Title III of this Regulation. title v MEASURES IN SUPPORT OF INNOVATION",0.8803,OPPOSING,"DIGITALEUROPE advises against mandating specific requirements on all AI applications and favours a case-by-case, ex-post approach, whereas Article 52 imposes blanket, ex-ante transparency obligations (e.g. disclosure of AI interaction, emotion recognition notification) on certain AI systems regardless of context or deployment specifics."
DIGITALEUROPE,64270747023-20,6,feedback,hys_feedback,2020-09-10,,"This type of regulatory divergence may also not allow the EU to benefit from AI products and services developed in other markets. Further, the overall aim of the EU’s approach should not lead to overly burdensome obligations on organisations developing, deploying or using AI technologies, where more light-touch or industry-driven measures would suffice. Otherwise, the launch of certain new and cutting edge AI-powered products and services in the internal market could be delayed or even not take place at all. 1 https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Requirements-for- Artificial-Intelligence DIGITALEUROPE Rue de la Science, 14A, B-1040 Brussels T.+32 (0) 2 609 53 10 / www.digitaleurope.org / @DIGITALEUROPE EU Transparency Register: 64270747023-20",recital,2,,"recital 2
Artificial intelligence systems (AI systems) can be easily deployed in multiple sectors of the economy and society, including cross border, and circulate throughout the Union. Certain Member States have already explored the adoption of national rules to ensure that artificial intelligence is safe and is developed and used in compliance with fundamental rights obligations. Differing national rules may lead to fragmentation of the internal market and decrease legal certainty for operators that develop or use AI systems. A consistent and high level of protection throughout the Union should therefore be ensured, while divergences hampering the free circulation of AI systems and related products and services within the internal market should be prevented, by laying down uniform obligations for operators and guaranteeing the uniform protection of overriding reasons of public interest and of rights of persons throughout the internal market based on Article 114 of the Treaty on the Functioning of the European Union (TFEU). To the extent that this Regulation contains specific rules on the protection of individuals with regard to the processing of personal data concerning restrictions of the use of AI systems for ‘real-time’ remote biometric identification in publicly accessible spaces for the purpose of law enforcement, it is appropriate to base this Regulation, in as far as those specific rules are concerned, on Article 16 of the TFEU. In light of those specific rules and the recourse to Article 16 TFEU, it is appropriate to consult the European Data Protection Board.",0.8802,ALIGNED,"Both the DIGITALEUROPE source text and Recital 2 express concern about regulatory divergence across Member States creating fragmentation of the internal market and hampering the free circulation of AI products and services, with both supporting a harmonised EU-level approach to avoid such fragmentation."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"Possible new regulations and policies should be compatible with existing rules like GDPR to protect users without causing harm or unintended consequences. 3b. Sub option 2 – Regulation limited to High-Risk AI applications Our industry welcomes the IIA’s intention to lay out a differentiated, risk-based approach with a distinction between high- and low-risk AI applications, based on a number of criteria. However, as we had previously pointed out in our comments to the Commission’s White Paper on AI, it is important that the Commission carefully considers its definition of high-risk AI applications. The use of “sectors”, for instance, may lead to a too broad categorisation. We thus encourage developing a categorisation that takes into account sector, use case, complexity of the AI system, probability of worst-case occurrence, irreversibility and scope of harm in worst case scenarios e.g. individual v. larger groups of people, and other criteria. Those criteria should be clearly defined to ensure legal certainty for AI developers and be translated into high-level principles that could be transformed into operational requirements set up in the form of industry-led standards, certification schemes or codes of conduct",article,6,,"article 6
Classification rules for high-risk AI systems 1.Irrespective of whether an AI system is placed on the market or put into service independently from the products referred to in points (a) and (b), that AI system shall be considered high-risk where both of the following conditions are fulfilled: (a)the AI system is intended to be used as a safety component of a product, or is itself a product, covered by the Union harmonisation legislation listed in Annex II; (b)the product whose safety component is the AI system, or the AI system itself as a product, is required to undergo a third-party conformity assessment with a view to the placing on the market or putting into service of that product pursuant to the Union harmonisation legislation listed in Annex II. 2.In addition to the high-risk AI systems referred to in paragraph 1, AI systems referred to in Annex III shall also be considered high-risk.",0.8802,ALIGNED,"ITI's pre-proposal text explicitly welcomes a differentiated, risk-based approach and urges careful definition of high-risk AI applications, which is directly reflected in Article 6's establishment of specific classification rules and criteria for determining high-risk AI systems."
American Chamber of Commerce to the European Union (AmCham EU),5265780509-97,0,feedback,hys_feedback,2020-09-10,,"Outcomes of an AI-application are often only as good as the data they are fed, so high-quality, curated data carries benefits on several levels, such as safety and accuracy. The Commission should therefore avoid imposing one-size-fits-all requirements around these categories. The Commission should rather encourage companies to strive for high data quality and bias mitigation by making reasonable efforts, rather than imposing overly prescriptive requirements based on unattainable objectives. The emphasis should be on testing output, not on training data quality. Rather than putting requirements on training data, it would be better to have requirements based on testing model performance using benchmark datasets, to make sure that the outputs are within an acceptable range, since it is the model output that ultimately determines the real-world impact of an AI system. Minimising the potential for businesses in Europe to choose different data sets around the globe or force them to ‘retrain’ AI systems on European data would produce lower quality AI outcomes. Moreover, AI systems become customised and evolve as a result of continuous training serving particular customers and markets. The training would be based on the specific business needs, location and business model. Consequently, any legal obligations concerning an operational AI system should apply to the operator of the system that has further trained and evolved the AI as opposed to the original producer",recital,44,,"recital 44
High data quality is essential for the performance of many AI systems, especially when techniques involving the training of models are used, with a view to ensure that the high-risk AI system performs as intended and safely and it does not become the source of discrimination prohibited by Union law. High quality training, validation and testing data sets require the implementation of appropriate data governance and management practices. Training, validation and testing data sets should be sufficiently relevant, representative and free of errors and complete in view of the intended purpose of the system. They should also have the appropriate statistical properties, including as regards the persons or groups of persons on which the high-risk AI system is intended to be used. In particular, training, validation and testing data sets should take into account, to the extent required in the light of their intended purpose, the features, characteristics or elements that are particular to the specific geographical, behavioural or functional setting or context within which the AI system is intended to be used. In order to protect the right of others from the discrimination that might result from the bias in AI systems, the providers shouldbe able to process also special categories of personal data, as a matter of substantial public interest, in order to ensure the bias monitoring, detection and correction in relation to high-risk AI systems.",0.8801,OPPOSING,"AmCham EU explicitly argues against prescriptive data quality requirements, advocating for reasonable efforts and output testing rather than training data mandates, while Recital 44 imposes detailed, prescriptive data governance and quality obligations (relevance, representativeness, completeness, statistical properties) on training, validation, and testing datasets for high-risk AI systems."
Gesamtverband der Deutschen Versicherungswirtschaft e.V.,6437280268-55,4,feedback,hys_feedback,2020-09-10,,"1. General remarks The German insurance industry welcomes the approach of the EU Com- mission to make the development and application of artificial intelligence legally secure and trustworthy, thus strengthening its acceptance. AI will only be able to develop its innovative potential and the associated benefits for citizens and the economy if both consumers and companies can trust AI. For AI, a European approach is needed. Fragmentation, especially in the digital sector, must be avoided. With that said, we believe that the existing EU-legislation is fully applica- ble to AI-applications. However, it could be reviewed whether the current regulatory framework hinders their beneficial use and thus needs to be adjusted to facilitate AI dissemination. It is commendable that the Com- mission wishes to create the right incentives for the adoption of AI, but in most cases sufficient business incentives for responsible AI use would already be there. For the insurance industry in particular, the existing regulations are suffi- cient. The insurance industry, as part of the financial services sector, is highly regulated. Because legislation is generally technology-neutral, nov- el technologies or methods such as AI are already captured by the exist- ing regulatory framework and supervisory authorities are continually refin- ing their approaches regarding new technologies. The German insurance industry is subject to supervision on the European and on the national level (EIOPA and BaFin)",recital,2,,"recital 2
Artificial intelligence systems (AI systems) can be easily deployed in multiple sectors of the economy and society, including cross border, and circulate throughout the Union. Certain Member States have already explored the adoption of national rules to ensure that artificial intelligence is safe and is developed and used in compliance with fundamental rights obligations. Differing national rules may lead to fragmentation of the internal market and decrease legal certainty for operators that develop or use AI systems. A consistent and high level of protection throughout the Union should therefore be ensured, while divergences hampering the free circulation of AI systems and related products and services within the internal market should be prevented, by laying down uniform obligations for operators and guaranteeing the uniform protection of overriding reasons of public interest and of rights of persons throughout the internal market based on Article 114 of the Treaty on the Functioning of the European Union (TFEU). To the extent that this Regulation contains specific rules on the protection of individuals with regard to the processing of personal data concerning restrictions of the use of AI systems for ‘real-time’ remote biometric identification in publicly accessible spaces for the purpose of law enforcement, it is appropriate to base this Regulation, in as far as those specific rules are concerned, on Article 16 of the TFEU. In light of those specific rules and the recourse to Article 16 TFEU, it is appropriate to consult the European Data Protection Board.",0.8796,ALIGNED,"Both the GDV's pre-proposal text and Recital 2 share the same core position: a European-level approach to AI regulation is necessary to avoid fragmentation of the internal market and ensure legal certainty, with the GDV explicitly stating ""a European approach is needed"" and ""fragmentation, especially in the digital sector, must be avoided,"" directly mirroring the recital's rationale for uniform Union-wide obligations."
