amendment_number,document_id,target_element,authors,diff_type,diff_summary,justification,themes_ai,themes_regex
124,ITRE-AM-746920,Title 1,Evžen Tošenovský,modification,CHANGED: 'aREGULATION' -> 'a REGULATION' | CHANGED: 'horizontalcybersecurity' -> 'essentialcybersecurity' | CHANGED: '2019/1020(Text' -> '2019/1020(Cyber Resilience Act)(Text',,essential_cybersecurity_requirements,scope_and_product_coverage
125,ITRE-AM-746920,Recital 1,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho; Lina Gálvez Muñoz,modification,CHANGED: '(1) It' -> '(1)Cybersecurity' | CHANGED: 'necessary to improve' -> 'a key challenge for the European Union as the diffusion of products with digital elements is constantly rising. In this ',,essential_cybersecurity_requirements,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations
126,ITRE-AM-746920,Recital 4,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Lina Gálvez Muñoz; Carlos Zorrinho,modification,"CHANGED: 'market, creating' -> 'market,proportionality for micro, small and medium sized enterprises, thuscreating'",,interface_with_sectoral_legislation,scope_and_product_coverage; sme_and_proportionality
127,ITRE-AM-746920,Recital 7,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,CHANGED: 'allconnectableproducts' -> 'all products' | CHANGED: 'elements are' -> 'elementsconnected to external network or deviceare' | CHANGED: 'connected physically' -> 'connectedto external networks or devicephysically',,scope_and_product_coverage,scope_and_product_coverage; essential_cybersecurity_requirements; interface_with_sectoral_legislation
128,ITRE-AM-746920,Recital 7 a (new),Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,insertion,NEW: (7a)This regulation should not apply to the internal networks of a product with digital elements if these networks have dedicated endpoints and are secured from external data connection.,,scope_and_product_coverage,scope_and_product_coverage
129,ITRE-AM-746920,Recital 7 b (new),Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,insertion,"NEW: (7b)This regulation should not apply to spare parts intended solely to replace defective parts of products with digital elements, in order to restore their functionality.",,scope_and_product_coverage,scope_and_product_coverage
130,ITRE-AM-746920,Recital 8 a (new),Evžen Tošenovský,insertion,"NEW: (8a)Directive (EU) 2022/2555 puts in place cybersecurity and incident reporting requirements for essential and important entities, such as critical infrastructure, with a view to increasing the resilience of the services they provide. It applies to cloud computing services and cloud service models, such as Infrastructure as a Service (IaaS), Platform as a Service (PaaS), Software as a Service (Saa",,scope_and_product_coverage; interface_with_sectoral_legislation,scope_and_product_coverage; vulnerability_disclosure_and_incident_reporting
131,ITRE-AM-746920,Recital 9,Ignazio Corrao,modification,"CHANGED: 'elements. It does not regulateservices, such as Software-as-a-Service (SaaS), except forremote data processing solutions' -> 'elements, processes and ancillaryservices. The definition and regulatory scope for products with' | CHANGED: 'understood' -> 'should also includeremote data processing solutionswhich are necessary for productswith digital elementsto perform its f' | CHANGED: 'distance forwhichthe software' -> 'distance, irrespective of whether data' | ADDED: 'processed or stored",,scope_and_product_coverage,scope_and_product_coverage; vulnerability_disclosure_and_incident_reporting; interface_with_sectoral_legislation
132,ITRE-AM-746920,Recital 9,Evžen Tošenovský,modification,"CHANGED: 'Regulation ensures' -> 'Regulationdoes not regulate the cloud computing services, itensures' | CHANGED: 'elements.It does not regulate services, such as Software-as-a-Service (SaaS), except forremote' -> 'elements.The cloud enabledremote' | CHANGED: 'elementsunderstood' -> 'elementsshould be however considered' | CHANGED: 'anydata processingat a distance' -> 'integral part of the product, only where the software' | CHANGED: 'which the softwareis' -> 'remotedata processing is'",,scope_and_product_coverage,scope_and_product_coverage; vulnerability_disclosure_and_incident_reporting; interface_with_sectoral_legislation
133,ITRE-AM-746920,Recital 9,Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,modification,"CHANGED: 'by the' -> 'byor on behalf ofthe' | CHANGED: 'concernedor under the responsibility of that manufacturer,' -> 'concerned,' | CHANGED: 'its functions.[DirectiveXXX/XXXX (NIS2)]puts' -> 'itsessentialfunctions. Directive(EU) 2022/2555 (NIS2)puts' | CHANGED: 'provide.[DirectiveXXX/XXXX (NIS2)]applies' -> 'provide. Directive(EU) 2022/2555 (NIS2)applies'",It should be clarified that only remote data processing solutions that are related to the product with digital elements should be considered to be in the scope of this Regulation.,scope_and_product_coverage,scope_and_product_coverage; vulnerability_disclosure_and_incident_reporting; interface_with_sectoral_legislation
134,ITRE-AM-746920,Recital 9 a (new),Ignazio Corrao,insertion,"NEW: (9a)Software and data that are openly shared and where users can freely access, use, modify and redistribute them or modified versions thereof, can contribute to research and innovation in the market. Research by the European Commission also shows that free and open-source software can contribute between €65 billion to €95 billion to the European Union’s GDP and that it can provide significant gro",,open_source_software_treatment,scope_and_product_coverage; open_source_software_treatment; sme_and_proportionality
135,ITRE-AM-746920,Recital 10,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,insertion,"NEW: When free and open-source software, supplied outside of the course of a commercial activity, is integrated into a final product with digital elements made available on the market, the economic operator that has placed the relevant product on the market shall be responsible for the compliance both of the product and of the integrated open-source software, according to this Regulation.",,open_source_software_treatment; scope_and_product_coverage,scope_and_product_coverage; open_source_software_treatment
136,ITRE-AM-746920,Recital 10,Zdzisław Krasnodębski; Adam Bielan; Kosma Złotowski,modification,"CHANGED: 'software.' -> 'software.Nonetheless, in order to ensure that individual or micro developers of software as defined in Commission Recomm'",,open_source_software_treatment,scope_and_product_coverage; open_source_software_treatment
137,ITRE-AM-746920,Recital 10,Ignazio Corrao,modification,"CHANGED: '(10)In order not to hamper innovation or research,free' -> '(10)Neither the collaborative development offree' | CHANGED: 'softwaredeveloped' -> 'softwarecomponents nor making them available on open repositoriesshouldconstitute a placing on the market' | CHANGED: 'supplied outside' -> 'putting into service. As such, most package managers, code hosting, and collaboration platforms do not makesoftwareprodu' | CHANGED: 'course' -> 'market as distributors within this Act.A commercial activi",,open_source_software_treatment; scope_and_product_coverage,scope_and_product_coverage; open_source_software_treatment
138,ITRE-AM-746920,Recital 10,Bart Groothuis,modification,"CHANGED: 'activitymight be characterized not only by charginga pricefora product, but also by charging' -> 'activitysolely occurs whena priceis charged for the use ofa productwith the intention of making' | CHANGED: 'price fortechnical support services, by' -> 'profit beyond meretechnical support, consultingservices,or maintenance based on incurred costs, orby' | CHANGED: 'manufacturer monetises other' -> 'manufacturermonetisesother' | CHANGED: 'theuseof' -> 'themonetisationof' | CHANGED: 'softw",Suggested language to clearly define commercial activity in the context of open-source software.,open_source_software_treatment,scope_and_product_coverage; open_source_software_treatment
139,ITRE-AM-746920,Recital 10,Marc Botenga,modification,"CHANGED: 'order not' -> 'orderto enhance the collaborative development of free and open source software andnot' | CHANGED: 'research, free' -> 'research,onlyfree' | CHANGED: 'softwaredeveloped or supplied outside the course ofa' -> 'softwareused as a monetised product ina' | CHANGED: 'shouldnotbe' -> 'should be' | CHANGED: 'software.' -> 'software.Under this Regulation, as manufacturer is considered the party commercially supplying the product to the market'",,open_source_software_treatment,scope_and_product_coverage; open_source_software_treatment
140,ITRE-AM-746920,Recital 10,Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,modification,"CHANGED: 'research, free' -> 'research,onlyfree' | CHANGED: 'suppliedoutsidethe' -> 'suppliedinthe' | CHANGED: 'services,' -> 'serviceswhen this pursues a profit or the intention to monetise,'","Free and open-source software is defined by all users having access to the human-readable source code plus a license which grants permission to use, study, modify and share modified versions. This cre",open_source_software_treatment,scope_and_product_coverage; open_source_software_treatment
141,ITRE-AM-746920,Recital 10,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,"CHANGED: 'activitymight be characterized not only by charginga pricefora product, but also by charging' -> 'activitysolely occurs whena priceis charged for the use ofa productwith the intention of making' | CHANGED: 'price for technical support services,by' -> 'profit orby' | CHANGED: 'theuseof' -> 'themonetizationof'",,open_source_software_treatment,scope_and_product_coverage; open_source_software_treatment
142,ITRE-AM-746920,Recital 10 a (new),Beatrice Covassi; Robert Hajšel; Patrizia Toia; Lina Gálvez Muñoz; Carlos Zorrinho,insertion,"NEW: (10a)The lack of professional skills in the field of cybersecurity is a key issue to be tackled for the succesful application of this Regulation. Therefore, in line with the European Commission Communication ""Closing the cybersecurity talent gap to boost the EU's competitiveness, growth and resilience ('The Cybersecurity Skills Academy')"", specific measures both at EU and Member States level shoul","As stated in the EC Communication ""The Cybersecurity Skills Academy"", in 2022 the shortage of cybersecurity professionals in the European Union ranged between 260.000 and 500.000.",,
143,ITRE-AM-746920,Recital 13 a (new),Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,insertion,"NEW: (13a)Agricultural and forestry vehicles in scope of Regulations (EU) 167/2013 of the European Parliament and of the Council fall also in the scope of this Regulation. In order to avoid regulatory overlaps, additional cybersecurity requirements in future amendments of Regulation (EU) 167/2013 should not be foreseen.",,interface_with_sectoral_legislation; scope_and_product_coverage,scope_and_product_coverage
144,ITRE-AM-746920,Recital 14 a (new),Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,insertion,NEW: (14a)This Regulation should not apply to spare parts that are exclusively manufactured in order to repair and update products with digital elements that have been placed on the market before the application date of this Regulation.,,scope_and_product_coverage,scope_and_product_coverage
