meeting_id,date,commissioner,organisations,themes_extracted,direction,position_summary,ai_enhanced
bc66c3fc9ac5ffb5,2025-09-08,Stéphane Séjourné,OVH Groupe,scope_and_product_coverage; market_surveillance_and_enforcement,unclear,"OVH highlighted concerns about the European cloud market being dominated by non-European actors and raised issues of data protection and extraterritoriality, without taking an explicit position on the CRA proposal.",True
b82d929baa26ec96,2025-09-08,Stéphane Séjourné,OVH Groupe,scope_and_product_coverage; market_surveillance_and_enforcement,unclear,"OVH highlighted concerns about the European cloud market being dominated by non-European actors and raised issues of data protection and extraterritoriality, without taking an explicit position on the CRA proposal.",True
95e7fd1720a9e500,2025-05-06,Valdis Dombrovskis,JPMorgan Chase & Co.,essential_cybersecurity_requirements; interface_with_sectoral_legislation; sme_and_proportionality,modifies,"JPMorgan reported on their experience implementing CRA and DORA cybersecurity requirements and expressed interest in simplification of digital regulatory obligations, signalling a preference for reduced compliance burden.",True
dde95f70b2202295,2025-10-23,Maria Luís Albuquerque,European Association of Paritarian Institutions of Social Protection,interface_with_sectoral_legislation,unclear,"Assofondipensione addressed DORA implications in the context of pension institutions alongside PEPP, without articulating a clear position on modifying the CRA proposal.",True
280df8179c5576f9,2025-05-07,Andrius Kubilius,PricewaterhouseCoopers International Limited,interface_with_sectoral_legislation; market_surveillance_and_enforcement,modifies,"PwC called for harmonisation of cloud-related regulations across the EU, arguing that conflicts between national rules and EU schemes such as DORA and EUCS create barriers to cross-border solutions and should be resolved through a converging regulatory path.",True
a539781ee3ce0770,2025-12-03,Maria Luís Albuquerque,European Association of Public Banks and Funding agencies AISBL,interface_with_sectoral_legislation; sme_and_proportionality,modifies,"EAPB advocated for simplification and proportionality of the promotional banks' regulatory framework, raising concerns about cumulative compliance burdens from DORA alongside other reporting and disclosure obligations.",True
3e3e74e2d40e3855,2025-10-02,Henna Virkkunen,European Cloud User Coalition,interface_with_sectoral_legislation; vulnerability_disclosure_and_incident_reporting,supports,"The European Cloud User Coalition supported integrating DORA into a unified cybersecurity incident reporting platform, endorsing streamlined interoperability between DORA and broader cybersecurity reporting obligations.",True
7f0d06d5ce5a507d,2025-09-30,Henna Virkkunen,Cisco Systems Inc.,interface_with_sectoral_legislation; essential_cybersecurity_requirements,unclear,"Cisco engaged with the Commission on its security agenda, including NIS2 and Cyber Resilience Act implementation and the upcoming review of the Cybersecurity Act, without articulating a specific position on the CRA's core provisions.",True
7300ad4e6e9cd041,2025-06-02,Henna Virkkunen,Commerzbank AG,interface_with_sectoral_legislation; sme_and_proportionality,modifies,"Commerzbank calls for a pragmatic, use-case-focused simplification of AI regulation and a clearer, less duplicative interplay between DORA and the Cyber Resilience Act to reduce compliance burden on the banking sector.",True
217072a2a036257b,2025-04-09,Henna Virkkunen,Deutsche Industrie- und Handelskammer,interface_with_sectoral_legislation; conformity_assessment_and_third_party_verification; sme_and_proportionality,modifies,"DIHK raises concerns about the cumulative implementation burden of NIS2, DORA, and the Cyber Resilience Act on small companies, calling for proportionate certification requirements and a more workable cybersecurity acquis.",True
073d1135f26b4b6b,2025-03-25,Henna Virkkunen,Palo Alto Networks Inc.,interface_with_sectoral_legislation,unclear,"Palo Alto Networks discussed implementation of NIS2, DORA, and the Cyber Resilience Act alongside personal data use in cybersecurity and the future of ePrivacy, without signalling a clear supporting or opposing position.",True
c7ca310c485ba1fc,2025-12-04,Stéphane Séjourné,Verisure,interface_with_sectoral_legislation; standardisation_and_harmonised_standards; sme_and_proportionality,modifies,"Verisure expresses concern about the Cyber Resilience Act's implementation timeline and its revenue and product impacts across the digital ecosystem, while also questioning AI Act transparency obligations and standardisation processes.",True
441bd0f4da1f3a8d,2025-09-17,Stéphane Séjourné,European Association of Public Banks and Funding agencies AISBL,,unclear,"EAPB focused exclusively on financial services legislation (DORA, FIDA, EMIR, MiFIR, SFTR, CRR/CRD) and raised no positions relevant to the Cyber Resilience Act taxonomy.",True
5f6e74cc289f5578,2025-07-01,Stéphane Séjourné,AMADEUS IT GROUP S.A.,interface_with_sectoral_legislation; sme_and_proportionality,modifies,"Amadeus IT Group called for reducing the combined regulatory burden of NIS2, the Cyber Resilience Act, GDPR, and AI legislation through a digital simplification agenda, highlighting the cumulative compliance pressure across overlapping frameworks.",True
38e3be41b8f7a295,2025-09-29,Christophe Hansen,Corporate Europe Observatory; foodwatch; Friends of the Earth Europe; Health & Environment Alliance; International Federation of Organic Agriculture Movements EU Regional Group; Pesticide Action Network Europe,,unclear,"NGO coalition focused entirely on pesticide phase-out and agricultural authorisation frameworks, raising no positions relevant to the Cyber Resilience Act taxonomy.",True
094d375feb3901b0,2025-02-06,Christophe Hansen,EuroCommerce,sme_and_proportionality; supply_chain_security_obligations,unclear,"EuroCommerce discussed food chain benchmarking and unfair trading practices regulation in an agricultural policy forum, raising no positions relevant to the Cyber Resilience Act taxonomy.",True
e795d174183d63a7,2025-10-23,Maria Luís Albuquerque,European Association of Paritarian Institutions of Social Protection,interface_with_sectoral_legislation,unclear,"Social protection institutions raised concerns about DORA's interaction with pension and complementary social protection frameworks, with no clear position articulated on the CRA proposal itself.",True
f091f925e7e562cc,2025-09-22,Henna Virkkunen,European Banking Federation,standardisation_and_harmonised_standards; interface_with_sectoral_legislation,modifies,The European Banking Federation sought modifications to the CRA's standardisation approach and called for clearer delineation of its scope relative to DORA to avoid duplicative obligations on financial sector entities.,True
a2305029371e240f,2025-09-11,Henna Virkkunen,European Banking Federation,vulnerability_disclosure_and_incident_reporting; essential_cybersecurity_requirements; interface_with_sectoral_legislation,modifies,"The European Banking Federation argued that CRA incident reporting and product security requirements should be aligned with or defer to DORA obligations already applicable to financial institutions, to prevent regulatory duplication.",True
