id,procedure_id,source_type,organisation,transparency_reg_id,source_date,source_text,context_before,context_after,chunk_id,meetings_total,meetings_commission,meetings_ep,amendment_id,amendment_number,target_element,target_type,committee,original_text,amended_text,justification,similarity_score,provision_effect,label,reasoning
43931fd1-4c0f-43b9-887c-47fc8273adf1,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,129356,2,2,0,35605ba5-ebdd-550f-9f35-d0a564938fdf,541,Recital 76 b (new),recital,ECON,,"(76 b)The resilience of Union payment systems, including their cyber-resilience, constitutes a prerequisite for the stability of the internal market and for the continuity of essential economic functions. The digital euro should therefore be equipped with mechanisms and processes ensuring preparedness and the capacity to maintain uninterrupted payment services in situations of severe or imminent disruption. Reinforcing such preparedness is necessary to safeguard public confidence, protect users’ access to funds and uphold the Union’s ability to respond effectively to systemic, technological or exceptional events.",,0.859316,"The amendment inserts a new recital establishing that the resilience (including cyber-resilience) of Union payment systems is a prerequisite for internal market stability, and that the digital euro must be equipped with mechanisms ensuring uninterrupted payment services during disruptions.",NOISE,"Finance Denmark's position focuses on the business case for issuing a digital euro, financial inclusion concerns, and access rules for visitors from non-euro countries — not on cyber-resilience or operational continuity mechanisms for the digital euro. While they mention ""stability and resilience of the European financial system"" in passing, this is framed as a reason for caution before issuance, not as a directional advocacy for equipping the digital euro with specific resilience/cyber-resilience mechanisms. An organisation with the opposite stance on the digital euro could produce equally matching text, making the connection too broad to be directional."
9b8b4d69-979a-47f4-8f8f-ceb82432aa3c,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,129356,2,2,0,0bb53e40-d0d1-5375-a852-f77db4944c34,481,Recital 43 b (new),recital,ECON,,"(43b)The President of the Commission in her State of the Union address asserted that the digital euro will benefit companies and consumers alike. The Commission stressed that retail payments must be efficient, convenient, safe, accessible and affordable to all users, including vulnerable consumers and it emphasised the requirement that cash continues to function as a means of financial inclusion for the unbanked, elderly, digitally excluded, or vulnerable.",,0.851696,"The amendment inserts a new recital affirming that the digital euro should benefit companies and consumers, that retail payments must be efficient, convenient, safe, accessible and affordable, and that cash must continue to serve as a means of financial inclusion for vulnerable groups.",ALIGNED,"Finance Denmark explicitly states that a digital euro must benefit society as a whole, adding value to both individuals and businesses, and that it must remedy deficiencies not already covered by private solutions — directly mirroring the amendment's assertion that the digital euro should benefit companies and consumers and that payments must be efficient, accessible, and affordable. The organisation also raises financial inclusion concerns (noting digital exclusion as a real issue) and the continued role of cash, which the amendment specifically addresses by emphasising cash as a means of financial inclusion for vulnerable groups."
304929b8-0728-4cb1-8a6b-031481408564,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,129356,2,2,0,1acda622-c1ee-51ef-9314-eef9e2c8cdbe,379,Recital 13,recital,ECON,"(13)	Member States, their relevant authorities and payment service providers should deploy information and educational measures to ensure the necessary level of awareness and knowledge of the different aspects of the digital euro.","(13)	Member States, their relevant authorities and payment service providers should deploy information and educational measures to ensure the necessary level of awareness and knowledge of the different aspects of the digital euro.In particular, they should work proactively to ensure that the digital euro is accessible to all segments of society, including vulnerable groups, marginalised communities and underserved populations, and should prioritise outreach and information efforts so that citizens are able to understand, access and use the digital euro effectively.",,0.848682,"The amendment adds a new sentence requiring proactive outreach to ensure the digital euro is accessible to vulnerable groups, marginalised communities, and underserved populations, and that citizens can understand, access, and use it effectively.",OPPOSING,"Finance Denmark explicitly argues that financial inclusion is not a widespread problem in the eurozone and that a digital euro cannot remedy digital inclusion issues, directly contradicting the amendment's thrust of mandating proactive outreach to vulnerable and underserved groups as a key objective. The amendment strengthens the financial/digital inclusion rationale for the digital euro, which Finance Denmark specifically disputes as a valid justification."
b048c2ba-ffd5-4341-b44e-2aeb571dbf45,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,129357,2,2,0,729d47dc-01e9-5aa2-9aaa-775dd2f462fc,496,Recital 52,recital,ECON,"(52)	Digital euro users, whether they reside or are established within the euro area or not, may also have the capacity to receive or initiate cross-currency payments between the digital euro and a local currency. Arrangements concluded between the European Central Bank and national central banks in Member States whose currency is not the euro and in third countries should specify the conditions for access to and use of interoperable payment systems for the purpose of cross-currency payments involving the digital euro.","(52)	Digital euro users, whether they reside or are established within the euro area or not, may also have the capacity to receive or initiate cross-currency payments between the digital euro and a local currency. Arrangements concluded between the European Central Bank and national central banks in Member States whose currency is not the euro and in third countries should specify the conditions for access to and use of interoperable payment systems for the purpose of cross-currency payments involving the digital euro.To this end, and to increase resilience, the ECB should develop an intra-European real-time payment system that overcomes the weaknesses of T2 and operates independently of cloud providers from the US or other non-European countries.",,0.864067,"The amendment adds a new sentence calling on the ECB to develop an intra-European real-time payment system independent of non-European cloud providers, going beyond the original text's focus on cross-currency payment arrangements.",NOISE,"Finance Denmark's matched position focuses on welcoming the requirement for active Member State requests and ECB agreements before the digital euro is used in non-euro countries — a governance/consent concern. The amendment instead introduces a new technical infrastructure requirement (an intra-European real-time payment system independent of non-European cloud providers), which is unrelated to Finance Denmark's expressed position. Finance Denmark takes no directional stance on ECB payment infrastructure or cloud provider independence."
7912e752-ea9d-4562-bf0a-6560c7299985,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,129357,2,2,0,fdb1e8e6-d99b-5f90-8280-6921cbee9fdf,1251,Article 31 b (new),article,ECON,,"In order to ensure continuity of digital euro payment functions and protect access to digital euro holdings in the event of a widespread and severe disruption to the digital payment system or a credible risk of such disruption, the European Central Bank or the relevant national central bank may, after receiving a request from one or more Member States, authorise the emergency switching of digital euro payment and acquiring services from one payment service provider to another.",,0.863945,"The amendment inserts a new provision allowing the ECB or a national central bank, upon request from one or more Member States, to authorise emergency switching of digital euro payment and acquiring services between providers during severe disruptions.",ALIGNED,Finance Denmark explicitly welcomes the requirement that use of the digital euro in non-euro countries presupposes an active request from the Member State in question and an agreement involving the ECB. The amendment mirrors this exact mechanism — making ECB/NCB authorisation contingent on a request from Member States — which directly aligns with the org's stated preference for that safeguard structure.
63142412-36f3-4efa-8bef-3d94de404692,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,129357,2,2,0,36bf3f20-ff99-58be-8d42-a4bb5668c8b0,1068,Article 21 – paragraph 2,article,ECON,2.	The European Central Bank shall cooperate with national central banks of Member States whose currency is not the euro to enable interoperable payments between the digital euro and other currencies.,2.	The European Central Bank shallactivelycooperate with national central banks of Member States whose currency is not the euro to enable interoperable payments between the digital euro and other currencies.,,0.858993,"The amendment strengthens the ECB's cooperation obligation with non-euro national central banks by adding the word ""actively,"" making the cooperation more proactive rather than merely passive.",ALIGNED,"Finance Denmark explicitly welcomes that the use of the digital euro in non-euro countries ""presupposes an active request"" and an agreement between the Member State's central bank and the ECB, signalling support for an active, deliberate engagement process. The amendment's insertion of ""actively"" into the ECB's cooperation obligation aligns with Finance Denmark's expressed preference for proactive, deliberate cooperation rather than a passive or default arrangement, consistent with their concern for financial and monetary stability in non-euro countries."
085f01f7-7f5d-4c6b-afea-b7a83f07d67d,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,129357,2,2,0,2edcdb3a-fdfc-580b-a74b-169409347032,1067,Article 21 – paragraph 2,article,ECON,2.	The European Central Bank shall cooperate with national central banks of Member States whose currency is not the euro to enable interoperable payments between the digital euro and other currencies.,2.	The European Central Bank shall cooperate with national central banks of Member States whose currency is not the euro to enable interoperable paymentsto the extent that is possiblebetween the digital euro and other currencies.,,0.857266,"The amendment adds the qualifier ""to the extent that is possible"" to the ECB's obligation to cooperate with non-euro national central banks for interoperable payments, weakening the obligation from an absolute one to a conditional/best-efforts one.",UNDETECTABLE,"Finance Denmark welcomes that use of the digital euro in non-euro countries presupposes an active request and agreement between the Member State's central bank and the ECB, reflecting concern about financial and monetary stability — a position related to this area. However, their expressed concern is about the conditions and safeguards for non-euro country access, not specifically about whether the ECB's interoperability cooperation obligation should be absolute or qualified. It is genuinely unclear whether weakening the ECB's cooperation obligation (by adding ""to the extent that is possible"") satisfies, contradicts, or is orthogonal to their advocacy for safeguards on non-euro country access."
f6f2062c-ae95-4af4-9aaf-c5383d6d9c78,2023/0212(COD),hys_feedback,Finance Denmark,20705158207-35,2023-09-06,The use of the digital euro in non-euro countries could potentially affect countries' financial and monetary stability. We therefore welcome that such use presupposes an active request from the Member State in question as well as an agreement between the Member State's central bank and ECB.,"It is imperative for the stability and resilience of the European financial system that careful analysis and consideration is made before any decision is taken to issue a digital euro. A digital euro must benefit the society as a whole, adding value to both individuals and businesses. An issuance requires therefore a strong business case. It needs to remedy a deficiency or meet demands that are not already covered by private payment solutions. The European payments market is overall well-functioning and effective with a wide range of means to make payments. The last building block adding to efficiency is the new instant payments regulation that already broadly achieves what the digital euro is trying to cover. Financial inclusion is not a widespread problem within the eurozone, but digital inclusion might be, as a wide range of individuals in certain regions lack digital skills. A digital euro cannot remedy that. Citizens in non-euro countries who visit a euro-country can gain access to the digital euro for use in the euro area (tourists etc.). The regulation contains no further provisions for, when visitors from non-euro countries can access the digital euro, as well as under what conditions the option to use or store the digital euro is available. We recommend that the upcoming work ensures that the regulation clarifies visitors access to and possession of digital euros and ensures that the regulation only enables visitors use of the digital euro in the euro area",,129357,2,2,0,0566ff1f-abdd-53c8-875a-89c3390c6f96,546,Recital 85 a (new),recital,ECON,,"(85 a)Central bank digital currencies are a new development that could potentially have implications for financial stability and banks' business models. Therefore, the ECB and the European Commission should closely monitor the application of this regulation and report back regularly to the European legislator. These reports should also reflect on potential new use cases for the digital euro.",,0.854259,"The amendment inserts a new recital requiring the ECB and European Commission to closely monitor the regulation's application, report regularly to the European legislator, and reflect on potential new use cases for the digital euro, in light of CBDC implications for financial stability and bank business models.",ALIGNED,"Finance Denmark explicitly emphasizes the need for careful analysis before issuing a digital euro and expresses concern about implications for financial and monetary stability, welcoming oversight mechanisms. The amendment directly responds to these concerns by mandating ongoing monitoring and regular reporting to the legislator on financial stability implications and new use cases — aligning with the organisation's call for careful, evidence-based scrutiny of the digital euro's rollout."
e5e3fe7d-a46f-4ef0-b33f-bc1a0cf40072,2023/0212(COD),hys_feedback,BIZUM S.L.,266486245741-10,2023-09-07,"The information in the directory enables immediate transfers to be made using the users' phones as proxies. Instant transfers, universality, convenience, security and easy activation are the main benefits that Bizum offers to the user. Bizum is, therefore, a payment solution that complements the basic functionalities of its member institutions, making them more 1 1 Proposal for a Regulation of the European Parliament and of the Council on the establishment of the digital euro (hereinafter, the “proposal for a Regulation”). 2 In Spanish, “prestadora de servicios de la sociedad de información”. 3 Please note that when referred as a mobile phone or phone it means smartphone, which is used interchangeably. 4 The Bizum’s “Alias” consists of the user's full name followed by the initials of both last names. Please, note that in Spain it is usual to have two family names, the first one of both parents. (e.g., PEDRO GARCÍA FERNÁNDEZ would be “PEDRO G.F.”). 1","Ref. Ares(2023)6081993 - 07/09/2023 Response to European Commission’s adoption for a proposal for a Regulation on the establishment of the digital euro1. Bizum would like to thank the European Commission for the opportunity to provide feedback on this proposal for a Regulation. Please find below these lines our detailed comments on the proposal. 1. Introduction to Bizum. 1.1. General overview. Bizum, S.L. (hereinafter ""Bizum""), is a Spanish company that provides information society services2. It was set up in 2016 as an innovative and collaborative project of the Spanish banking industry. Its aim is to offer a payment solution based on the instant transfer of funds between users' accounts in an efficient, fast, and secure manner. Bizum currently has a network that brings together more than 24.6 million users (and expects to reach 25 million before the end of 2023), 37 Spanish and Andorran credit institutions, more than 50,000 businesses (including hundreds of public bodies) and over 8,700 NGOs. It provides a value-added service for payment service providers members and their customers, covering around 99% of the Spanish market share. Bizum's functionalities allow linking in the same register -a database or directory- the telephone3 number and the IBAN code of a user's bank account, together with other relevant data about the user (ID number, first and last name, alias4, and optionally email or postal address)","attractive and allowing them to offer services that improve and enrich the user experience. Bizum is the only mobile payment solution using the European scheme established by the European Payments Council (EPC) SEPA Instant Credit Transfer (SCT Inst) for all its use cases. Bizum’s services are currently available in Spain and Andorra5. However, interoperability with other European payment solutions is one of the major key points in Bizum’s roadmap for the coming years. Bizum is also a member of the European Mobile Payments System Association (EMPSA), from which it is committed to interoperability and the establishment of a pan-European mobile payment solution. In this regard, it is worth highlighting the existence of value-added solutions like Bizum in 14 Member States. 1.2. Bizum’s role in the development of the digital euro. With regard to this proposal for a Regulation, Bizum’s staff has been appointed by the Eurosystem as a member of the Digital Euro Market Advisory Group. Bizum has also participated in the progress of the Rulebook Development Group (RDG), which develops functional, technical and operational aspects of the digital euro. In particular, Bizum has participated in two workstreams which are focused on (1) authentication and identification and (2) compatibility",129372,2,0,2,6d0fa44a-2b5b-584f-b44d-fc81c63ebcde,590,Article 2 – paragraph 1 – point 28,article,ECON,28.	‘user alias’ means auniquepseudonymous identifier used toprotectuser’s identity when processing digital europaymentsthat can only beattributableto an identifiable natural or legal person by the payment service provider distributing the digital euro or by the digital euro user;,"28.	‘user alias’ means adigital euro payment account-specificpseudonymous identifierissued by the European Central Bank and/or national central banks upon a request from the payment service provider,used tosafeguard theuser’s identity when processing digital europayment transactionsthat can only belinkedto an identifiable natural or legal person by the payment service provider distributing the digital euro or by the digital euro user, comprising a mandatory alias (the digital euro payment access number) and, when so requested by the user, additional proxy aliases that may likewise be associated with the digital euro payment account;",,0.860639,"The amendment replaces the original broad definition of 'user alias' with a more specific one that ties the alias to a digital euro payment account, issued by the ECB/national central banks upon PSP request, and introduces a mandatory alias (digital euro payment access number) plus optional proxy aliases at user request.",NOISE,"The matched chunk from Bizum's position is purely descriptive background about Bizum's business model, its directory-based proxy system, and its role in the digital euro advisory process — it contains no specific directional advocacy regarding how 'user alias' should be defined, who should issue aliases, or whether a mandatory alias structure should be introduced. There is no substantive stance that can be mapped to the direction of this amendment."
0acaf1b4-8eec-41cd-8628-cfbe0bec1037,2023/0212(COD),hys_feedback,BIZUM S.L.,266486245741-10,2023-09-07,"The information in the directory enables immediate transfers to be made using the users' phones as proxies. Instant transfers, universality, convenience, security and easy activation are the main benefits that Bizum offers to the user. Bizum is, therefore, a payment solution that complements the basic functionalities of its member institutions, making them more 1 1 Proposal for a Regulation of the European Parliament and of the Council on the establishment of the digital euro (hereinafter, the “proposal for a Regulation”). 2 In Spanish, “prestadora de servicios de la sociedad de información”. 3 Please note that when referred as a mobile phone or phone it means smartphone, which is used interchangeably. 4 The Bizum’s “Alias” consists of the user's full name followed by the initials of both last names. Please, note that in Spain it is usual to have two family names, the first one of both parents. (e.g., PEDRO GARCÍA FERNÁNDEZ would be “PEDRO G.F.”). 1","Ref. Ares(2023)6081993 - 07/09/2023 Response to European Commission’s adoption for a proposal for a Regulation on the establishment of the digital euro1. Bizum would like to thank the European Commission for the opportunity to provide feedback on this proposal for a Regulation. Please find below these lines our detailed comments on the proposal. 1. Introduction to Bizum. 1.1. General overview. Bizum, S.L. (hereinafter ""Bizum""), is a Spanish company that provides information society services2. It was set up in 2016 as an innovative and collaborative project of the Spanish banking industry. Its aim is to offer a payment solution based on the instant transfer of funds between users' accounts in an efficient, fast, and secure manner. Bizum currently has a network that brings together more than 24.6 million users (and expects to reach 25 million before the end of 2023), 37 Spanish and Andorran credit institutions, more than 50,000 businesses (including hundreds of public bodies) and over 8,700 NGOs. It provides a value-added service for payment service providers members and their customers, covering around 99% of the Spanish market share. Bizum's functionalities allow linking in the same register -a database or directory- the telephone3 number and the IBAN code of a user's bank account, together with other relevant data about the user (ID number, first and last name, alias4, and optionally email or postal address)","attractive and allowing them to offer services that improve and enrich the user experience. Bizum is the only mobile payment solution using the European scheme established by the European Payments Council (EPC) SEPA Instant Credit Transfer (SCT Inst) for all its use cases. Bizum’s services are currently available in Spain and Andorra5. However, interoperability with other European payment solutions is one of the major key points in Bizum’s roadmap for the coming years. Bizum is also a member of the European Mobile Payments System Association (EMPSA), from which it is committed to interoperability and the establishment of a pan-European mobile payment solution. In this regard, it is worth highlighting the existence of value-added solutions like Bizum in 14 Member States. 1.2. Bizum’s role in the development of the digital euro. With regard to this proposal for a Regulation, Bizum’s staff has been appointed by the Eurosystem as a member of the Digital Euro Market Advisory Group. Bizum has also participated in the progress of the Rulebook Development Group (RDG), which develops functional, technical and operational aspects of the digital euro. In particular, Bizum has participated in two workstreams which are focused on (1) authentication and identification and (2) compatibility",129372,2,0,2,a83200c8-c7a3-504e-8c7c-b3dccc59b8ac,591,Article 2 – paragraph 1 – point 28,article,ECON,28.	‘user alias’ means auniquepseudonymous identifier used to protect user’s identity when processing digital euro payments that can only be attributable to an identifiable natural or legal person by the payment service provider distributing the digital euro or by the digital eurouser;,"28.	‘user alias’ means adigital euro payment account specificpseudonymous identifiergenerated by the European Central Bank or national central banks upon request of the payment service providerused to protect user’s identity when processing digital euro payments that can only be attributable to an identifiable natural or legal person by the payment service provider distributing the digital euro or by the digital eurousers including a compulsory alias and if requested by a digital euro user, additional proxy aliases that can also be linked to the digital euro payment account;",,0.848513,"The amendment redefines 'user alias' from a generic pseudonymous identifier to a digital euro payment account-specific pseudonymous identifier generated by the ECB or national central banks, and introduces a mandatory compulsory alias plus optional proxy aliases linked to the account.",NOISE,"The matched chunk from Bizum's position is purely descriptive background — it explains how Bizum's own directory and alias system works and introduces the company, without expressing any specific directional advocacy on how the 'user alias' definition in the digital euro regulation should be structured (e.g., who should generate aliases, whether a compulsory alias should exist, or whether proxy aliases should be permitted). There is no substantive stance that can be mapped to the direction of this amendment."
