organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
ACEA, 0649790813-47,hys_feedback,0,0,0,article,33,"Reuse, remanufacturing and refurbishment of parts and components",0.860433,"Requires Member States to take incentives promoting reuse, remanufacturing, and refurbishment of vehicle parts, including offering customers circular repair options and reduced VAT rates, while the Commission monitors effectiveness.",ALIGNED,"ACEA explicitly advocates for stimulating the second-life parts market through demand-side incentives (e.g., lower insurance fees, obligations for repair workshops to offer remanufactured/reused parts) rather than mandatory targets — and the provision directly implements this approach by requiring Member States to adopt incentives such as offering circular repair options alongside new parts. The provision's mechanism closely mirrors the specific examples ACEA cited as effective, confirming a clear directional alignment.",1,False
ACEA, 0649790813-47,hys_feedback,0,0,0,article,4,"Reusability, recyclability and recoverability of vehicles",0.862793,"Establishes mandatory minimum reusability/recyclability (85%) and recoverability (95%) rates for new vehicle types, along with data collection, calculation, and marking obligations for manufacturers.",NOISE,"The org text expresses general support for the Commission's initiative and describes the automotive industry's historical commitment to vehicle longevity and recyclability, but does not take a specific directional stance on the minimum percentage thresholds, the calculation methodology, or the specific manufacturer obligations established in Article 4. The observation about the difficulty of assessing design choices over a 15-22 year vehicle lifespan is contextual background rather than a concrete advocacy position for or against the provision's requirements.",1,False
ACEA, 0649790813-47,hys_feedback,0,0,0,article,9,Circularity strategy,0.855923,"Requires vehicle manufacturers to draw up, submit, monitor, update, and publicly disclose a circularity strategy for each type-approved vehicle type, describing actions to meet circularity requirements.",NOISE,"The org text expresses general support for the Commission's initiative on circularity and the Green Deal, and describes the automotive industry's longstanding commitment to vehicle longevity and recyclability, but does not take any specific directional stance on whether a mandatory circularity strategy mechanism (as established in Article 9) should or should not exist, or how it should be structured. The position is too general and descriptive to constitute a specific advocacy position that can be evaluated against the provision's concrete requirements.",1,False
ASOCIACIÓN ANDALUZA DE DESGUACES,047885236376-72,hys_feedback,0,0,0,article,12,"Labelling of parts, components and materials present in vehicles",0.842648,"Requires manufacturers and suppliers to label and identify parts, components, and materials of vehicles using standardised nomenclature, including specific labelling for e-drive motors containing permanent magnets.",UNDETECTABLE,"The organisation advocates for broader vehicle scope (including electric, hybrid, LPG, CNG vehicles and currently excluded categories like industrial vehicles, buses, and two/three-wheelers) and better vehicle identification under the ELV directive. Article 12 does address labelling of parts in vehicles including e-drive motors (relevant to electric vehicles the org mentions), which touches on the org's concern about new vehicle types being brought under regulatory control. However, the org's position focuses on expanding the scope of vehicles covered and ensuring they are processed in authorised treatment facilities, not specifically on standardised labelling/coding of parts and components — making it genuinely unclear whether this provision satisfies, contradicts, or simply bypasses the org's specific advocacy.",2,False
ASOCIACIÓN ANDALUZA DE DESGUACES,047885236376-72,hys_feedback,0,0,0,article,14,Competent authority,0.844861,Requires Member States to designate competent authorities responsible for monitoring and verifying compliance of producers and producer responsibility organisations with their obligations under the regulation.,ALIGNED,"The organisation explicitly advocates for converting the ELV directive into a European Regulation and for clearly defining Extended Producer Responsibility (EPR) obligations, including mandatory producer financing of collection and treatment costs. Article 14 is part of a Regulation (not a directive) and establishes the enforcement infrastructure — competent authorities — specifically tasked with monitoring and verifying compliance with EPR obligations (Articles 15–36), directly responding to the org's call for stronger, binding EPR mechanisms at the EU level with proper oversight.",2,False
ASOCIACIÓN ANDALUZA DE DESGUACES,047885236376-72,hys_feedback,0,0,0,article,16,Extended producer responsibility,0.871598,"Establishes extended producer responsibility (EPR) for vehicles, requiring producers to ensure end-of-life vehicles are collected and treated in accordance with specified articles and that waste management operators meet set targets.",ALIGNED,"The organisation explicitly advocates for defining the extended liability/responsibility of the producer to cover collection, transport, and treatment of ELVs and their components, which is precisely what Article 16 establishes by creating a mandatory EPR scheme covering collection and treatment obligations. The org's specific ask for a regulatory definition of producer responsibility scope is directly delivered by this provision.",5,False
ASOCIACIÓN ANDALUZA DE DESGUACES,047885236376-72,hys_feedback,0,0,0,article,17,Register of producers,0.862207,"Establishes a mandatory register of producers for vehicles, requiring producers to register in each Member State where they place vehicles on the market and to report on their extended producer responsibility obligations.",ALIGNED,"The organisation explicitly advocates for defining and implementing extended producer responsibility (EPR) obligations — including collection, transport, and treatment of ELVs and their components — and calls for a system to monitor compliance across stakeholders. Article 17 directly operationalises EPR by creating a mandatory producer register to monitor compliance with EPR requirements, which is a concrete step in the direction the organisation advocated for.",5,False
ASOCIACIÓN ANDALUZA DE DESGUACES,047885236376-72,hys_feedback,0,0,0,article,18,Producer Responsibility Organisation,0.862778,"Establishes the framework for Producer Responsibility Organisations (PROs), including their authorisation, data confidentiality obligations, reporting requirements, and governance structure requiring fair representation of producers and waste management operators.",ALIGNED,"The organisation explicitly advocates for the establishment and proper implementation of Extended Producer Responsibility (EPR) systems for ELVs, arguing that the absence of such systems has unfairly burdened recyclers with management costs. Article 18 directly creates and structures Producer Responsibility Organisations as the mechanism through which EPR obligations are fulfilled, which is precisely the kind of formal EPR system the organisation is calling for. Notably, Article 18(4) requires fair representation of waste management operators in PRO governing bodies, which directly addresses the organisation's concern that recyclers have been left to bear costs without adequate representation or support.",2,False
ASOCIACIÓN ANDALUZA DE DESGUACES,047885236376-72,hys_feedback,0,0,0,article,19,Authorisation on fulfilment of extended producer responsibility,0.8621,"Establishes a mandatory authorisation procedure for producers and producer responsibility organisations fulfilling extended producer responsibility (EPR) obligations, including compliance verification, self-control mechanisms, and grounds for revocation.",ALIGNED,"The organisation explicitly advocates for the creation and clarification of EPR obligations for vehicle producers, including mandatory coverage of collection and treatment costs for ELVs, and calls for a binding European Regulation to enforce these obligations. The provision directly establishes a formal authorisation and compliance framework for EPR fulfilment, operationalising the very EPR obligations the organisation was advocating for — moving in the same direction of making EPR mandatory and enforceable at the EU level.",3,False
ASOCIACIÓN ANDALUZA DE DESGUACES,047885236376-72,hys_feedback,0,0,0,article,2,Scope,0.869863,"Defines the scope of the ELV Regulation by specifying which vehicle categories (M1, N1, M2, M3, N2, N3, O, L3e–L7e) are covered, when broader categories come into scope, and which provisions apply or are excluded for each category.",ALIGNED,"The organisation explicitly advocates for expanding the typology of vehicles covered by ELV rules to include all motor vehicles circulating on the road — mopeds, motorcycles, industrial and agricultural vehicles, and new propulsion types. The provision directly responds to this by extending the regulation's scope beyond M1/N1 to include M2, M3, N2, N3, O, and L3e–L7e categories, which aligns with the organisation's specific ask to broaden vehicle coverage.",1,False
