stub_id,stub_name,tr_id,tr_name,tr_acronym,confidence,reasoning,action
org_b8a73a5655a3dee9,Finland's Permanent Representation to the Council of Europe,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_746888e0eb5b0f97,DG for Digital Services at the European Commission,,,,prefiltered,Pre-filtered: matches 'DG for',skip
org_8e2b5d5fc1d400f2,ENISA,,,,prefiltered,Pre-filtered: matches 'ENISA',skip
org_12a76805b9cc8b71,Minister of Transport of the Kyrgyz Republic,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_4e97a88a86610b04,Minister of Transport of the Republic of Kazakhstan,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_e63cb57e991881f6,First Deputy Minister of the Ministry of Transport of the Republic of Uzbekistan,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_fd418a7a57a2262f,Minister of the Ministry of Transport of the Republic of Tajikistan,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_09596494b0f775f8,President of the People's National Assembly of Guinea Bissau,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_bcd80fe1927028b4,Ayuntamiento de Sevilla,,,,prefiltered,Pre-filtered: matches 'Ayuntamiento',skip
org_b3418ae71a198eaf,"European Commission, DG TRade",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_88e0bed0844cc9f2,United Nations Liaison Office for Peace and Security,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_077f2936359f849b,"European Commission, DG International Partnerships(INTPA)",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_1d03501e4631a173,Environment Attaché - Permanent Representation of the Netherlands to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_aa19117e15a3f9b6,Deputy Permanent Representatives of Czechia and Slovakia to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_90021dac2f4ce09c,Embassy of Ukraine to Hungary,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_2ffabebecc680aa6,Embassy of Kazakhstan,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_4b12aac432fbe9c4,Minister of Foreign Affairs of Sri Lanka,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_14cef9e2e06d0499,ENVI attache Permanent Representation of the Netherlands to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_2fb78a61d8d1828c,"Support service for Citizen-led renovation, by the European Commission, DG Energy",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_9ecc9e831e867427,REpresentatives of the Dutch Ministry of Foreign Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_33be5e9e3aa9d15a,Permanent Representation of Finland to the Council of Europe,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_ce4c8f24e192f8ac,Embassy of Ecuador to Belgium and Luxembourg,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_37e509ffd18474f0,Embassy of Kosovo in Switzerland,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_7952853460cdafc2,"Sameh Shoukry, Minister of Foreign Affairs of the Arab Republic of Egypt",,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_7ad4916d3ae74aa4,"Jan-Dieter Bruns (Chairman of Bruns-Pflanzen-Export GmbH & Co. KG), Markus Guhl (Managing Director of Bruns-Pflanzen-Export GmbH & Co. KG), Hajo Hinrichs (President of the Association of German Nurseries), Katherine Power (European Commission), Pia Hoering (European Commission), Charles Lionack (European Commission), Alessandro Di Mario (European Commission)",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_9193da962f793302,Minister of Economy and Trade - Spain,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_810dabe06262af4e,United Nations Development Program (UNDP),,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_2ee3415e0028cfc4,"President of Rzeszow, Poland",,,,prefiltered,Pre-filtered: matches 'President of',skip
org_1500ea71586cfe25,Embassy of Armenia to Belgium,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_f90636dc2a8489e7,Prime Minister of Montenegro,,,,prefiltered,Pre-filtered: matches 'Prime Minister',skip
org_7209f67f139d4ea4,Embassy of Montenegro to the EU,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_b608817556a302a5,Czech Permanent Representation to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_4faf616182d80a70,Permanent Representation The Netherlands,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_1f4c32a01e88511f,"European Commission cabinet of Financial services, financial stability and Capital Markets Union",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_750cc9019092b94f,Czech/Slovak Permanent Representation to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_c9c9d12beacffe23,Representatives of Finnish Ministry of Agriculture and Forestry,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_aeb6be2bbab306d1,Permanent Representation of Belgium,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_6b4bd5aee06ad6e2,"European Commission, DG HOME",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_92b85d7375840f58,Belgium Ministry of social affairs and public health,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_81c92fba3b46e7f5,Embassy of Ecuador,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_bfee1301cf209588,united nations advisory board,,,,prefiltered,Pre-filtered: matches 'united nations',skip
org_e70d10b09e2eddc5,Permanent Representatives of Czechia and Slovakia to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_0ccf1fdd069971ef,Embassy of Armenia in Brussels,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_ba42cd08fdb9f264,Embassy of Israel in Belgium and Luxembourg,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_4d1245df1be98f42,Permanent Representation of Malta,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_dabe726aec27ea26,Embassy of India in Rome,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_d5ab025c73b1efeb,"Honourable Ali Sabry, Minister of foreign affairs of Sri Lanka",,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_d5731f5f3e29e769,Permanent representation of Czech Republic to the European Union,,,,prefiltered,Pre-filtered: matches 'Permanent represent',skip
org_6f5e2a517334fd0c,Embassy of Mongolia,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_cc160369ee5f2e06,Embassy of Tajkistan,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_6ec3cb37b2027660,Embassy of Tajikistan,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_2e64305ba78e1982,German Ministry of State for Europe,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_d634947a58e63f11,SK permanent representation,,,,prefiltered,Pre-filtered: matches 'permanent represent',skip
org_361ef33267645414,Deputy Permanent Representative of Finland to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_20c0e23f8ef32998,Permanent Representative of Luxembourg to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_adc7bcded02620eb,BMI (Austrian Federal Ministry of the Interior),,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_afbf58880213c6ae,SK Permanent Representation - national experts,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_3b1c14e5c65b8da2,President of Polish Sumo Association,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_834d830d64f313b2,European Commission (DG DEVCO),,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_30bd90c2a5806d68,Permanent representation of Poland to the EU (meeting with Scott Ainslie's assistant),,,,prefiltered,Pre-filtered: matches 'Permanent represent',skip
org_9658af4ac008eaab,Aino Friman / Ministry of foreigh affairs / Finland,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_e3d1cac0e7157f1d,Yvo Volman / European Commission,,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_d6926d2196635012,Portuguese Permanent Representation to the European Union,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_00f18dae24c7ad72,Polish Ministry of Climate,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_94801bcb78fc3cc6,President of Parlacen,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_ffb589f774cab90e,Government of Berlin region,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_5f84cdb5e988a21a,German Minister of Justice,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_0f6dfd85e1234430,Spanish Ministry of Industry,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_7eb7dfa30482bb92,Ex-Member of the European Parliament,,,,prefiltered,Pre-filtered: matches 'European Parliament',skip
org_e2466a6b7d74a987,United Nations Alliance of Civilizations,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_b5713707912fc2e2,United Nations International Children's Emergency Fund,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_c189ba5e4b9d5311,Permanent Representation of Spain to the European Union,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_f02604fc40a81807,"Jörg Kukies, German Ministry of Finance",,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
