organisation,tr_id,meeting_count,source_kind,source_type,source_date,source_commissioner,source_text,amendment_number,target_element,target_type,original_text,amended_text,justification,cosine_score,amendment_direction,label,reasoning
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",354,Recital 5 a (new),recital,,"(5 a)The regulatory framework addressing artificial intelligence should be without prejudice to existing and future Union laws concerning data protection, privacy, and protection of fundamental rights.In this regard, requirements of this Regulation should be consistent with the aims and objectives of, among others, the GDPR and the EUDPR.Where this Regulation addresses automated processing within the context of article 22 of the GDPR, the requirements contained in that article should continue to apply, ensuring the highest levels of protection for European citizens over the use of their personal data.",,0.8602,"New insertion clarifying that the AI regulatory framework is without prejudice to existing EU data protection and fundamental rights laws (GDPR, EUDPR), ensuring consistency and maintaining the highest protections for citizens.",NOISE,"While the organisation's post-proposal text touches on AI and data strategy broadly, there is insufficient detail in the recorded position to determine alignment or opposition with this specific amendment on GDPR/EUDPR consistency and fundamental rights safeguards, and the organisation's meeting record (0 post-proposal meetings) provides no substantive stance to match against."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",354,Recital 5 a (new),recital,,"(5 a)The regulatory framework addressing artificial intelligence should be without prejudice to existing and future Union laws concerning data protection, privacy, and protection of fundamental rights.In this regard, requirements of this Regulation should be consistent with the aims and objectives of, among others, the GDPR and the EUDPR.Where this Regulation addresses automated processing within the context of article 22 of the GDPR, the requirements contained in that article should continue to apply, ensuring the highest levels of protection for European citizens over the use of their personal data.",,0.8602,"New insertion adding a recital clarifying that the AI regulatory framework must remain consistent with and without prejudice to existing EU data protection and fundamental rights laws (GDPR, EUDPR), including maintaining Article 22 GDPR protections for automated processing.",NOISE,"While EuroCommerce engaged with the Commission on AI and data strategy topics, the organisation's documented position is too vague and broad to determine a specific stance on whether the AI Act should explicitly preserve GDPR/EUDPR consistency and Article 22 protections, making alignment impossible to assess."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2323,Article 53 – paragraph 5,article,"5.	Member States’ competent authoritiesthat have establishedAI regulatory sandboxesshallcoordinate their activitiesandcooperate within the framework of the European Artificial Intelligence Board. They shall submit annual reports to the Board and the Commission on the results from the implementation of thosescheme, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.","5.	Member States’ competent authoritiesin collaboration with the Commission shall establishAI regulatory sandboxes, as much as possible through national and regional initiatives, in particular through European digital innovation hubs, and closelycoordinate their activitiesas well ascooperate within the framework of the European Artificial Intelligence Board. They shall submit annual reports to the Board and the Commission on the results from the implementation of thoseschemes, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.The annual reports or abstracts shall be made available to the public, online, in order to further enable innovation within the Union.Outcomes and learnings of the sandbox should be leveraged when monitoring the effectiveness and enforcement of this Regulation and taken into account when proceeding to amending it.The annual reports shall also be submitted to the AI Board which shall publish on its website a summary of all good practices, lessons learnt and recommendations.",,0.8591,"The amendment shifts responsibility for establishing AI regulatory sandboxes from Member States' competent authorities alone to a collaborative model involving the Commission, and encourages setup through national/regional initiatives and European digital innovation hubs.",NOISE,"The organisation's post-proposal text is only a high-level subject header from a meeting with Commissioner Vestager covering broad digital strategy topics, providing no specific position on the governance or establishment structure of AI regulatory sandboxes that could be meaningfully aligned or opposed to this amendment."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2323,Article 53 – paragraph 5,article,"5.	Member States’ competent authoritiesthat have establishedAI regulatory sandboxesshallcoordinate their activitiesandcooperate within the framework of the European Artificial Intelligence Board. They shall submit annual reports to the Board and the Commission on the results from the implementation of thosescheme, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.","5.	Member States’ competent authoritiesin collaboration with the Commission shall establishAI regulatory sandboxes, as much as possible through national and regional initiatives, in particular through European digital innovation hubs, and closelycoordinate their activitiesas well ascooperate within the framework of the European Artificial Intelligence Board. They shall submit annual reports to the Board and the Commission on the results from the implementation of thoseschemes, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.The annual reports or abstracts shall be made available to the public, online, in order to further enable innovation within the Union.Outcomes and learnings of the sandbox should be leveraged when monitoring the effectiveness and enforcement of this Regulation and taken into account when proceeding to amending it.The annual reports shall also be submitted to the AI Board which shall publish on its website a summary of all good practices, lessons learnt and recommendations.",,0.8591,"Strengthens the establishment of AI regulatory sandboxes by making them a collaborative obligation between Member States and the Commission, and by anchoring them through national/regional initiatives including European digital innovation hubs.",NOISE,"While EuroCommerce met with Vestager's cabinet on EU digital strategy and AI, the post-proposal text recorded is only a broad subject-matter description with no specific organisational position on AI regulatory sandboxes or their governance structure, making it impossible to determine alignment or opposition to this amendment."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",327,Recital 2 a (new),recital,,"(2 a)This Regulation should not affect the restrictions, prohibitions or enforcement that apply where an artificial intelligence practice infringes another EU law, including EU acquis on data protection, privacy, or the confidentiality of communications, on non discrimination, consumer protection or on competition.",,0.8552,"New insertion clarifying that the AI Regulation does not affect restrictions, prohibitions, or enforcement under other EU laws (data protection, privacy, non-discrimination, consumer protection, competition).",NOISE,"The organisation's post-proposal text concerns broad EU digital strategy topics and provides no discernible specific position on the interaction between the AI Regulation and other EU legal frameworks, making it impossible to determine alignment or opposition to this amendment."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",327,Recital 2 a (new),recital,,"(2 a)This Regulation should not affect the restrictions, prohibitions or enforcement that apply where an artificial intelligence practice infringes another EU law, including EU acquis on data protection, privacy, or the confidentiality of communications, on non discrimination, consumer protection or on competition.",,0.8552,"New insertion clarifying that the AI Regulation does not affect restrictions, prohibitions, or enforcement under other EU laws (data protection, privacy, non-discrimination, consumer protection, competition).",NOISE,"EuroCommerce's documented position relates broadly to EU digital strategy and platform regulation without specific evidence of a stance on this jurisdictional/clarification recital, making it impossible to reliably assess alignment."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2613,Article 60 – title,article,EU database forstand-alone high-riskAI systems,EU database for AI systems,,0.8547,"Broadens the scope of the EU database by removing the 'stand-alone high-risk' qualifier, making it applicable to AI systems generally rather than only stand-alone high-risk ones.",NOISE,"The organisation's post-proposal text only references broad digital strategy and AI topics with no meetings logged (0 post-proposal meetings), providing no meaningful positional signal on whether the EU database scope should be broadened or narrowed, making alignment impossible to determine."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2613,Article 60 – title,article,EU database forstand-alone high-riskAI systems,EU database for AI systems,,0.8547,"Broadens the scope of the EU database by removing the restriction to 'stand-alone high-risk' AI systems, making it applicable to all AI systems.",NOISE,"EuroCommerce's recorded position covers broad digital strategy and AI topics without any specific stance on the scope of the EU database for AI systems, making it impossible to determine alignment or opposition to this amendment."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2309,Article 53 – paragraph 2,article,"2.	Member States shall ensure that to the extent the innovative AI systems involve the processing of personal data or otherwise fall under the supervisory remit of other national authorities or competent authorities providing or supporting access to data, the national data protection authorities and those other national authorities are associated to the operation of the AI regulatory sandbox.","2.The European Commission in collaboration withMember States shall ensure that to the extent the innovative AI systems involve the processing of personal data or otherwise fall under the supervisory remit of other national authorities or competent authorities providing or supporting access to data, the national data protection authorities and those other national authorities are associated to the operation of the AI regulatory sandbox.",,0.8544,The amendment adds the European Commission as a co-responsible actor alongside Member States in ensuring data protection authorities are associated with AI regulatory sandbox operations.,NOISE,"The organisation's post-proposal text is a high-level subject line about EU digital strategy and AI with no discernible specific position on whether the Commission or Member States should lead sandbox governance, making it impossible to determine alignment or opposition to this amendment."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2309,Article 53 – paragraph 2,article,"2.	Member States shall ensure that to the extent the innovative AI systems involve the processing of personal data or otherwise fall under the supervisory remit of other national authorities or competent authorities providing or supporting access to data, the national data protection authorities and those other national authorities are associated to the operation of the AI regulatory sandbox.","2.The European Commission in collaboration withMember States shall ensure that to the extent the innovative AI systems involve the processing of personal data or otherwise fall under the supervisory remit of other national authorities or competent authorities providing or supporting access to data, the national data protection authorities and those other national authorities are associated to the operation of the AI regulatory sandbox.",,0.8544,The amendment adds the European Commission as a collaborator alongside Member States in ensuring data protection authorities are associated with AI regulatory sandbox operations.,NOISE,"EuroCommerce's post-proposal text covers broad digital strategy and AI topics at a high level, and provides no specific position on the institutional role of the European Commission versus Member States in governing AI regulatory sandboxes, making it impossible to determine alignment or opposition."
