organisation,transparency_reg_id,source_date,meetings_total,meetings_commission,meetings_ep,amendment_number,target_element,target_type,committee,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
EUROBAT,39573492614-61,2023-11-09,2,0,2,372,Recital 57,recital,CJ45,0.867427,The amendment adds a condition to the exclusion of EV batteries from essential parts: the last owner must provide documentation proving the battery was handled by a professional operator in accordance with Regulation (EU) 2023/1542.,ALIGNED,"EUROBAT explicitly calls for alignment between the ELV Regulation and the Batteries Regulation (EU) 2023/1542, and emphasizes the importance of ""uniform and environmentally sound end-of-life treatment of batteries from vehicles."" The amendment directly strengthens alignment with Regulation (EU) 2023/1542 by requiring documentation of professional handling under that regulation as a condition for removing EV batteries before vehicle treatment — responding specifically to EUROBAT's advocacy for closer regulatory alignment and sound battery end-of-life management.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,373,Recital 57,recital,CJ45,0.862049,"The amendment replaces the placeholder citation ""Regulation (EU)2023/[Batteries]"" with the specific citation ""Regulation (EU)2023/1542"", without changing any substantive content of the recital.",NOISE,"The amendment makes only a technical/editorial change — inserting the final regulation number for the Batteries Regulation — with no substantive policy change. EUROBAT's position focuses on alignment between the ELV Regulation and the Batteries Regulation regarding substance restrictions and battery second life, but does not advocate for or against this purely formal citation update. No directional advocacy position is relevant here.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,1246,Article 24 – paragraph 2,article,CJ45,0.857096,"The amendment adds a condition that free delivery of an ELV without its electric vehicle battery is only permitted if the last owner provides proof that the battery was handed over to an authorised operator under Regulation (EU) 2023/1542, and also expands free delivery to collection points and addresses multi-stage type approval vehicles.",ALIGNED,"EUROBAT explicitly advocates for alignment between the ELV Regulation and the Batteries Regulation (EU) 2023/1542, and stresses the importance of environmentally sound end-of-life treatment of vehicle batteries. The amendment directly links free ELV delivery without a battery to proof of handover to an authorised operator as defined under Regulation (EU) 2023/1542, which is precisely the kind of cross-regulatory alignment EUROBAT called for to ensure batteries are properly managed at end-of-life.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,365,Recital 54,recital,CJ45,0.859772,"The amendment replaces the placeholder ""[OP: Batteries Regulation]"" with the specific regulation number ""2023/1542"", thereby formally identifying the Batteries Regulation by its official citation.",NOISE,"The amendment is a purely technical/editorial change that fills in the official citation number for the Batteries Regulation, making no substantive policy change. EUROBAT's position addresses alignment between the ELV Regulation and the Batteries Regulation on substantive matters (chemical restrictions, exemption reviews), but does not advocate for or against this type of citation correction. No directional policy stance from EUROBAT is implicated by this change.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,255,Recital 16,recital,CJ45,0.848863,"The amendment makes no substantive change to the original text — it is identical, representing only a footnote reference to the Batteries Regulation.",NOISE,"The original and amended texts are identical, meaning there is no substantive change to evaluate. EUROBAT's position concerns alignment between the ELV Regulation and the Batteries Regulation, but this is merely a footnote citation with no directional change, so there is no advocacy position that can be matched against it.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,298,Recital 24,recital,CJ45,0.868665,"The amendment adds ""and their components"" after ""batteries"" in recital 24, expanding the design-for-removal requirement to cover not just batteries but also their sub-components.",NOISE,"EUROBAT's position focuses on alignment between the ELV Regulation and the Batteries Regulation regarding chemical/substance restrictions, and on ensuring environmentally sound end-of-life treatment of batteries. They do not express any specific directional stance on whether battery sub-components (as distinct from batteries themselves) should be included in design-for-removal requirements. Their text contains no advocacy position that maps to this specific amendment's direction.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,645,Article 5 – paragraph 2,article,CJ45,0.875936,"The amendment shifts the restriction on lead, mercury, cadmium, and hexavalent chromium from applying to ""vehicle types that are type-approved"" to applying to ""materials and components of vehicles put on the market,"" thereby extending compliance obligations to component and material suppliers rather than solely to vehicle manufacturers.",NOISE,"EUROBAT's position is specifically focused on removing battery substance restrictions entirely from the scope of the ELV/circularity regulation (arguing they are already covered by the Batteries Regulation), not on whether the restriction applies to vehicle types versus materials and components. The amendment's directional change — broadening the scope of who bears compliance obligations — is entirely orthogonal to EUROBAT's advocacy, which concerns the regulatory instrument used rather than the scope of responsible parties within it.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,254,Recital 15 a (new),recital,CJ45,0.867926,"The amendment inserts a new recital calling for a mapping of substances of concern in vehicles and their manufacturing, linking this exercise to REACH evaluation processes and the Chemicals Strategy for Sustainability, as a basis for further restrictions.",OPPOSING,"EUROBAT explicitly advocates for removing battery substance restrictions entirely from the scope of the ELV/vehicle circularity regulation, arguing that the Batteries Regulation already comprehensively addresses this and that duplication should be avoided. The amendment moves in the opposite direction by inserting a new recital that establishes a rationale for further substance restrictions within the vehicle regulation framework, including substances in batteries, thereby expanding rather than removing the regulation's reach over substances of concern in vehicles.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,256,Recital 17,recital,CJ45,0.859244,"The amendment adds a requirement that the Commission consult relevant experts and stakeholders before adopting delegated acts modifying or deleting exemptions, to ensure broader socioeconomic impacts are considered alongside human and environmental health impacts.",NOISE,"EUROBAT's matched text focuses on advocating for the transfer of the lead battery exemption (Annex II exemption 5) directly to the Batteries Regulation rather than being reviewed under the new ELV Regulation, and more broadly argues that battery substance restrictions should be removed from ELV scope entirely. This is a different directional concern from the amendment, which adds a stakeholder/expert consultation requirement before delegated acts are adopted. EUROBAT expresses no specific position on whether such consultation requirements should or should not exist, making their text unrelated to the amendment's direction.",1,False
EUROBAT,39573492614-61,2023-11-09,2,0,2,1749,Annex VII – Part B – point 2 – paragraph 1 – point d a (new),annex,CJ45,0.84058,"The amendment inserts SLI batteries and Electric vehicle batteries (as defined in the Batteries Regulation) into the depollution process, removing them from Part C of Annex VII of the ELV regulation.",ALIGNED,"EUROBAT explicitly advocates that battery-related provisions (restrictions, exemptions, and management of hazardous substances in batteries) should be governed exclusively under the Batteries Regulation rather than the ELV regulation, arguing against duplication and regulatory complexity. The amendment moves SLI and EV batteries out of Part C of Annex VII (the ELV chemical/substance management annex) and into the depollution process, which aligns with EUROBAT's position that battery substance management should not be included in the scope of the ELV regulation and should instead fall under the Batteries Regulation framework.",1,False
