id,component,ai_response_id,label,error_category,notes,labeled_at,relabel_round,meeting_text,meeting_date,procedure_id,procedure_title,match_confidence,matched_alias,org_stub_name,org_candidate_name,org_candidate_tr_id,org_country,org_category,org_fuzzy_score,ai_match_confidence,ai_reasoning,all_candidates_json,source_table
,org,org_d8ef98c46169e707,correct,,auto:PwC is the common acronym for PricewaterhouseCoopers.,2026-05-04T07:31:17.101018+00:00,1,,,,,,,PwC,PricewaterhouseCoopers International Limited,60402754518-05,United Kingdom,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_82214d6e4d6fc633,correct,,auto:Stub explicitly includes the acronym and full name matching the TR entity.,2026-05-04T07:31:17.101018+00:00,1,,,,,,,IDSN - International Dalit Solidarity Network,International Dalit Solidarity Network,900634429489-61,Denmark,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_687ab9ed0e679b84,wrong,wrong_entity,auto:Deloitte Consulting and Deloitte Tax & Consulting Luxembourg are different entities within the Deloitte network.,2026-05-04T07:31:17.101018+00:00,1,,,,,,,Deloitte Consulting,Deloitte Tax & Consulting,622565933188-30,Luxembourg,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_8c076fdaece988b8,correct,,"auto:Same Spanish hydrogen association, only diacritics differ.",2026-05-04T07:31:17.101018+00:00,1,,,,,,,Asociación Española del Hidrógeno,Asociacion Española del Hidrogeno,014715298521-33,Spain,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_d65e0622e2a3b31a,uncertain,,auto:ECCP is a common acronym (e.g. European Cluster Collaboration Platform); cannot confirm it means this Palestine coordination.,2026-05-04T07:31:17.101018+00:00,1,,,,,,,ECCP,European Coordination of Committees and Associations for Palestine,494028511793-88,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_00d82d3d13671016,correct,,"auto:Same Armenian foundation, just formatted with quotes.",2026-05-04T07:31:17.101018+00:00,1,,,,,,,Democracy Development Foundation,"""Democracy Development Foundation"" Foundation",353327997718-23,Armenia,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_8f80a8eff50fd041,correct,,auto:C.I.B.E. is the French acronym (Confédération Internationale des Betteraviers Européens) for the International Confederation of European Beet Growers.,2026-05-04T07:31:17.101018+00:00,1,,,,,,,C.I.B.E.,International Confederation of European Beet Growers,89930126483-54,Belgium,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_bf381d513d72ee4f,correct,,auto:Stub appears to be the same organisation with 'Position' appended (likely a document title).,2026-05-04T07:31:17.101018+00:00,1,,,,,,,Gas Distributors for Sustainability Position,Gas Distributors for Sustainability,382692732615-35,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_6e976de0ce8def72,correct,,auto:CEFIC is the acronym for the European Chemical Industry Council.,2026-05-04T07:31:17.101018+00:00,1,,,,,,,European Chemical Industry Council,CEFIC - European Chemical Industry Council,64879142323-90,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_1bdf1c99fb943bf1,correct,,auto:Cia-Agricoltori Italiani is the formal name; stub is a shortened version of the same Italian organisation.,2026-05-04T07:31:17.101018+00:00,1,,,,,,,Agricoltori Italiani,Cia Agricoltori italiani,766057749619-15,Italy,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_71cc0f4ec6e45a20,correct,,auto:DENEFF is the acronym for Deutsche Unternehmensinitiative Energieeffizienz e.V.,2026-05-04T07:31:24.815846+00:00,1,,,,,,,DENEFF e.V.,Deutsche Unternehmensinitiative Energieeffizienz e.V.,19736167705-91,Germany,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_cd8d7fca2b74143d,correct,,"auto:Same entity, just with the AB legal suffix.",2026-05-04T07:31:24.815846+00:00,1,,,,,,,Research Institutes of Sweden (RISE),RISE Research Institutes of Sweden AB,402612622998-53,Sweden,Think tanks and research institutions,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_80e892e6fc7277d4,correct,,auto:OP (Organisation de Producteurs) Les Pêcheurs de Bretagne matches the TR entity.,2026-05-04T07:31:24.815846+00:00,1,,,,,,,OP les pêcheurs de Bretagne,Les Pêcheurs de Bretagne,135616145432-44,France,"Other organisations, public or mixed entities",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_60b6457e4877ed66,uncertain,,"auto:EFCA is ambiguous (could also be European Fisheries Control Agency or others), but the engineering consultancy federation is a plausible match.",2026-05-04T07:31:24.815846+00:00,1,,,,,,,EFCA,European Federation of Engineering Consultancy Associations,819735441372-85,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_6d03c8da37bfab09,correct,,auto:Same entity with N.V. legal suffix.,2026-05-04T07:31:24.815846+00:00,1,,,,,,,Redcare Pharmacy,Redcare Pharmacy N.V.,337860539739-52,Netherlands,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_eedab4c69c059065,correct,,auto:BCG is the well-known acronym for Boston Consulting Group.,2026-05-04T07:31:24.815846+00:00,1,,,,,,,BCG,The Boston Consulting Group SRL/BV,0755829103291-37,Belgium,Professional consultancies,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_d5b6b6d710ee20eb,wrong,wrong_entity,"auto:EDF most commonly refers to Électricité de France, not European Disability Forum; without context this is likely wrong.",2026-05-04T07:31:24.815846+00:00,1,,,,,,,EDF,European Disability Forum,57868523887-16,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_22e375bd3c702348,correct,,"auto:IG BCE is the standard acronym for Industriegewerkschaft Bergbau, Chemie, Energie.",2026-05-04T07:31:24.815846+00:00,1,,,,,,,IG BCE,"Industriegewerkschaft Bergbau, Chemie, Energie",981167323458-75,Germany,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_8b9fd1d33290a546,correct,,auto:Same name with the AEPO acronym prepended.,2026-05-04T07:31:24.815846+00:00,1,,,,,,,AEPO Association of European Performers' Organisations,Association of European Performers’ Organisations,69221462428-97,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
