# ----------------------------------------
# Globalnyt
# Artikeltyper-Artikeltype
# 20260319-20260406
# ----------------------------------------

artikeltype,Visninger,Brugere i alt
,36540,19104,Total
(not set),14314,7116
,4650,3637
Senest,2666,2259
Debat,2477,1742
Navne,2338,1906
Stilling,2324,1366
Baggrund,1347,983
Analyse,1239,874
Kalenderopslag,1105,890
Interview,1047,798
Q&A,834,597
Reportage,722,496
Anbefaling,677,460
Podcast,450,360
Nyhed,185,154
Foreningen Globalnyt,51,43
Anmeldelse,32,25
Information,22,9
Portræt,22,19
Feature,12,12
Video,12,9
Essay,4,5
Names,2,2
Nyt fra den 3. verden,2,2
Position,2,1
Election 2026,1,1
Hurt in the Good Heart,1,1
On the edge of Europe,1,1
Последнее,1,1

